#clustering band1 band2 band3 band4 b_width eps min_samp damp pref km_in score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40 c_41 c_42 c_43 c_44 c_45 c_46 c_47 c_48 c_49 c_50 c_51 c_52 c_53 c_54 c_55 c_56 c_57 c_58 c_59 c_60
kmeans mag05_555 mag05_814 mag05_225 mag05_487 N/A N/A N/A N/A N/A meanshift 0.4112 6 1586 515 424 278 211 105  53   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_487 N/A N/A N/A N/A N/A meanshift 0.3654 7 1586 363 334 318 228 194  98  51   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
meanshift mag05_555 mag05_814 mag05_225 mag05_502 0.7072 N/A N/A N/A N/A N/A 0.3510 5 1728 1291  368   39   24    6    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_225 mag05_502 N/A N/A N/A N/A N/A meanshift 0.4155 3 1728 768 650 310   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_502 N/A N/A N/A N/A N/A meanshift 0.4393 4 1728 767 560 253 148   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_502 N/A N/A N/A N/A N/A meanshift 0.4038 5 1728 554 532 324 235  83   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_502 N/A N/A N/A N/A N/A meanshift 0.4062 6 1728 545 470 330 210 117  56   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
kmeans mag05_555 mag05_814 mag05_225 mag05_502 N/A N/A N/A N/A N/A meanshift 0.3651 7 1728 413 354 347 244 206 108  56   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
meanshift mag05_555 mag05_814 mag05_225 mag05_657 0.8021 N/A N/A N/A N/A N/A 0.2579 4 2932 2480  355   74   23    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_555 mag05_814 mag05_225 mag05_657 N/A N/A N/A N/A N/A meanshift 0.4614 2 2932 1898 1034    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
