# band1 band2 colour_mean colour_median colour_std colour_var colour_min colour_max num_obj unc_mean unc_median unc_std unc_var unc_min unc_max
mag05_225 mag05_555 -0.2743 -0.6460 1.4617 2.1366 -7.5270 8.6620 57014 5.1220 3.3727 6.5592 43.0227 0.0542 99.2416
mag05_438 mag05_555 0.4522 0.1740 0.7731 0.5977 -7.8160 6.6820 66145 2.1636 1.7876 2.4922 6.2111 0.0406 95.9694
mag05_555 mag05_814 0.8079 0.5360 1.1656 1.3587 -6.5270 8.2020 66812 1.6853 1.4620 2.1084 4.4454 0.0354 95.2552
mag05_336 mag05_555 -0.3764 -0.8210 1.3255 1.7571 -9.3950 7.2810 61912 3.2198 2.1414 4.6316 21.4516 0.0452 99.6117
mag05_373 mag05_555 -0.4348 -0.6620 1.0264 1.0535 -7.0000 6.2930 55803 7.4699 5.7845 7.3898 54.6093 0.1041 99.5866
mag05_487 mag05_555 -0.0008 -0.1190 0.6988 0.4883 -10.0570 6.2520 63651 5.6358 4.7499 4.9515 24.5171 0.0748 99.0687
mag05_502 mag05_555 0.2413 0.1240 0.6686 0.4470 -6.2680 5.4160 64160 5.3519 4.5173 4.7998 23.0376 0.0721 97.6603
mag05_555 mag05_657 3.5688 3.5780 0.7629 0.5820 -1.9980 9.8330 67387 2.0044 2.0170 1.0411 1.0839 0.0568 76.3826
mag05_555 mag05_673 0.3656 0.3390 0.8213 0.6745 -6.2980 7.4870 65128 4.2576 3.5872 3.9989 15.9915 0.0568 100.2631
