#MatchID,NumFilters,RAh,RAm,RAs,Decd,Decm,Decs,W3_F438W,W3_F438W_Sigma,W3_F555W,W3_F555W_Sigma,W3_F814W,W3_F814W_Sigma
1928348,2,13,37,01.321,-29,52,00.05,24.225,0.000,,,,
1926019,2,13,37,00.457,-29,51,53.80,21.329,0.000,,,,
1935121,3,13,37,00.599,-29,52,00.33,20.940,0.000,,,,
1936202,4,13,37,01.406,-29,51,58.48,24.904,0.000,24.064,0.000,22.691,0.000
1934326,2,13,37,00.573,-29,52,00.01,,,,,,
1933664,2,13,37,01.312,-29,52,00.22,24.121,0.000,,,,
1925551,2,13,37,00.520,-29,51,51.87,24.075,0.000,,,,
1931938,2,13,37,01.444,-29,51,53.69,22.407,0.000,,,,
2170229,8,13,37,01.420,-29,51,52.83,23.090,0.000,22.241,0.082,21.326,0.000
1938192,3,13,37,01.138,-29,52,01.72,20.857,0.000,,,,
2159855,2,13,37,00.888,-29,51,48.88,22.939,0.000,,,,
1934925,3,13,37,00.982,-29,52,02.18,21.207,0.000,,,,
1926549,3,13,37,00.442,-29,51,54.54,19.665,0.000,,,,
1921640,7,13,37,00.974,-29,51,48.82,23.455,0.000,23.296,0.000,23.409,0.000
1927607,3,13,37,00.443,-29,51,56.73,20.704,0.000,,,,
2159904,2,13,37,00.936,-29,51,48.78,23.200,0.000,,,,
1927684,3,13,37,00.437,-29,51,56.44,21.087,0.000,,,,
2170167,3,13,37,00.645,-29,52,00.95,22.081,0.000,,,,
1926208,7,13,37,01.453,-29,51,53.85,22.342,0.000,22.103,0.000,,
1923162,4,13,37,00.803,-29,51,49.04,22.514,0.000,20.365,0.000,,
1934254,3,13,37,00.665,-29,52,01.18,21.724,0.000,,,,
2173818,2,13,37,00.838,-29,52,02.14,,,,,,
1935457,2,13,37,01.473,-29,51,55.01,23.722,0.000,,,,
1935608,2,13,37,00.924,-29,52,02.33,,,,,,
1927196,3,13,37,00.939,-29,52,02.34,20.509,0.000,,,,
1924401,3,13,37,00.433,-29,51,54.28,21.014,0.000,,,,
1930478,3,13,37,00.575,-29,52,00.29,20.337,0.000,,,,
1929993,5,13,37,01.180,-29,51,49.36,24.195,0.000,22.860,0.000,22.024,0.000
1927566,2,13,37,01.068,-29,51,48.84,,,24.389,0.000,22.827,0.000
1924209,2,13,37,00.914,-29,51,48.68,23.232,0.000,,,,
1929485,2,13,37,00.471,-29,51,58.35,21.308,0.000,,,,
1931349,2,13,37,01.466,-29,51,56.89,24.257,0.000,,,,
1925579,2,13,37,00.823,-29,51,48.86,23.621,0.000,,,,
1938852,2,13,37,01.445,-29,51,57.85,,,,,,
1924784,2,13,37,00.900,-29,51,48.68,23.154,0.000,,,,
1929749,3,13,37,01.384,-29,51,51.57,,,23.455,0.000,22.335,0.000
1924929,2,13,37,01.430,-29,51,52.62,23.158,0.000,,,,
1938296,2,13,37,00.884,-29,52,02.34,18.732,0.000,,,,
1934628,2,13,37,00.754,-29,52,01.90,22.667,0.000,,,,
1931565,2,13,37,00.811,-29,52,02.15,,,,,,
1921433,7,13,37,00.510,-29,51,51.67,,,23.088,0.000,22.046,0.000
1938847,2,13,37,01.063,-29,52,02.28,,,,,,
1933382,2,13,37,01.471,-29,51,54.07,23.227,0.000,,,,
1937566,3,13,37,00.730,-29,52,01.83,22.720,0.000,,,,
2170290,2,13,37,01.459,-29,51,53.37,23.282,0.000,,,,
1933185,3,13,37,01.005,-29,52,02.44,19.406,0.000,,,,
1935357,3,13,37,01.047,-29,52,02.37,19.572,0.000,,,,
1928322,3,13,37,00.471,-29,51,58.65,21.646,0.000,,,,
1929905,4,13,37,01.413,-29,51,51.97,,,22.993,0.000,22.820,0.000
1934635,5,13,37,01.467,-29,51,53.62,,,22.441,0.000,22.157,0.000
2184224,3,13,37,01.146,-29,52,02.03,21.295,0.000,,,,
1929359,7,13,37,00.526,-29,51,59.85,21.888,0.000,21.186,0.391,21.064,0.000
1923804,3,13,37,00.464,-29,51,52.46,24.005,0.000,23.520,0.000,23.066,0.000
1934578,3,13,37,00.706,-29,52,01.77,19.890,0.000,,,,
1925669,3,13,37,00.411,-29,51,54.92,20.120,0.000,,,,
1935030,2,13,37,00.779,-29,52,02.19,,,,,,
1938332,5,13,37,00.874,-29,52,02.48,18.699,0.000,18.659,0.000,,
1928239,2,13,37,00.513,-29,51,59.67,,,,,,
1934115,3,13,37,00.669,-29,52,01.53,21.917,0.000,,,,
1922710,2,13,37,00.530,-29,51,51.04,,,,,,
1927966,3,13,37,00.454,-29,51,58.39,20.985,0.000,,,,
1932354,4,13,37,01.403,-29,51,51.60,24.246,0.000,23.336,0.000,22.594,0.000
1935742,3,13,37,00.952,-29,52,02.59,19.723,0.000,,,,
2159835,2,13,37,00.418,-29,51,54.01,21.753,0.000,,,,
1924267,2,13,37,01.021,-29,51,48.47,,,24.998,0.000,23.223,0.000
2161276,3,13,37,00.413,-29,51,56.78,21.487,0.000,,,,
1928344,3,13,37,01.128,-29,52,02.24,20.978,0.000,,,,
1932885,2,13,37,01.487,-29,51,54.15,23.930,0.000,,,,
1923051,4,13,37,00.425,-29,51,57.53,18.721,0.000,,,,
1934471,4,13,37,01.398,-29,51,59.63,24.295,0.000,24.052,0.000,22.631,0.000
1933093,2,13,37,01.421,-29,51,59.16,,,24.796,0.000,23.069,0.000
1933848,2,13,37,01.465,-29,51,53.03,23.282,0.000,,,,
1936592,3,13,37,01.102,-29,52,02.39,21.688,0.000,,,,
1933025,4,13,37,01.349,-29,51,50.57,24.167,0.000,23.252,0.000,21.892,0.000
