# logt_yr f225w f336w f373n f438w f487n f502n f555w f657n f673n f814w 
+7.3500 +0.3990 +0.9922 +1.3908 +2.0697 +1.9736 +2.1469 +2.1173 +1.9514 +2.0246 +1.5131
+7.4000 +0.5611 +1.1172 +1.4808 +2.1701 +2.0488 +2.2243 +2.1883 +1.9728 +2.0467 +1.5741
+7.4500 +0.7133 +1.2361 +1.5774 +2.2574 +2.1276 +2.3014 +2.2634 +2.0372 +2.1083 +1.6887
+7.5000 +0.8614 +1.3504 +1.6766 +2.3291 +2.2002 +2.3706 +2.3292 +2.0937 +2.1653 +1.7787
+7.5500 +1.0294 +1.4859 +1.8080 +2.4098 +2.2786 +2.4477 +2.3984 +2.1305 +2.2142 +1.8219
+7.6000 +1.1873 +1.6104 +1.9262 +2.4847 +2.3519 +2.5204 +2.4715 +2.2111 +2.3001 +1.9398
+7.6500 +1.3426 +1.7289 +2.0261 +2.5583 +2.4217 +2.5877 +2.5362 +2.2722 +2.3606 +2.0229
+7.7000 +1.5046 +1.8515 +2.1215 +2.6323 +2.4944 +2.6552 +2.6016 +2.3318 +2.4171 +2.0979
+7.7500 +1.6578 +1.9666 +2.1890 +2.6976 +2.5531 +2.7148 +2.6633 +2.4021 +2.4828 +2.1841
+7.8000 +1.8210 +2.0867 +2.2522 +2.7606 +2.6082 +2.7737 +2.7227 +2.4723 +2.5468 +2.2603
+7.8500 +2.0040 +2.2247 +2.3319 +2.8358 +2.6658 +2.8408 +2.7847 +2.5327 +2.6021 +2.3114
+7.9000 +2.1830 +2.3592 +2.4343 +2.9115 +2.7318 +2.9109 +2.8548 +2.6171 +2.6803 +2.4020
+7.9500 +2.3739 +2.5064 +2.5605 +2.9980 +2.8119 +2.9854 +2.9289 +2.6912 +2.7465 +2.4810
+8.0000 +2.5541 +2.6466 +2.6881 +3.0846 +2.9011 +3.0610 +3.0069 +2.7714 +2.8195 +2.5771
+8.0500 +2.7305 +2.7828 +2.7750 +3.1667 +2.9748 +3.1325 +3.0772 +2.8341 +2.8814 +2.6598
+8.1000 +2.9229 +2.9315 +2.8882 +3.2591 +3.0432 +3.2021 +3.1419 +2.8748 +2.9214 +2.7083
+8.1500 +3.1353 +3.0999 +3.0367 +3.3523 +3.1144 +3.2764 +3.2145 +2.9351 +2.9824 +2.7653
+8.2000 +3.3722 +3.2832 +3.1981 +3.4522 +3.2080 +3.3597 +3.3002 +3.0171 +3.0623 +2.8319
+8.2500 +3.5938 +3.4396 +3.3136 +3.5408 +3.3196 +3.4397 +3.3920 +3.1264 +3.1654 +2.9356
+8.3000 +3.7952 +3.5632 +3.3643 +3.6039 +3.4074 +3.5200 +3.4819 +3.2516 +3.2856 +3.0658
+8.3500 +4.0093 +3.6935 +3.4794 +3.6685 +3.4824 +3.5849 +3.5444 +3.3171 +3.3430 +3.1275
+8.4000 +4.2243 +3.8342 +3.7452 +3.7725 +3.5897 +3.6595 +3.6121 +3.3692 +3.3851 +3.1738
+8.4500 +4.4530 +3.9734 +3.8583 +3.8890 +3.6551 +3.7402 +3.6861 +3.4119 +3.4334 +3.2231
+8.5000 +4.7086 +4.1187 +3.9771 +3.9833 +3.7410 +3.8289 +3.7669 +3.4790 +3.5001 +3.2786
+8.5500 +5.0011 +4.2771 +4.1419 +4.0934 +3.8357 +3.9249 +3.8537 +3.5463 +3.5687 +3.3348
+8.6000 +5.3293 +4.4487 +4.2766 +4.2301 +3.9190 +4.0237 +3.9442 +3.6207 +3.6416 +3.3996
+8.6500 +5.6839 +4.6356 +4.4977 +4.3800 +4.0470 +4.1402 +4.0519 +3.6999 +3.7190 +3.4658
+8.7000 +6.0556 +4.8053 +4.6074 +4.5376 +4.1655 +4.2710 +4.1778 +3.7899 +3.8125 +3.5412
+8.7500 +6.4263 +4.9807 +4.7984 +4.7466 +4.3403 +4.4533 +4.3319 +3.8696 +3.8942 +3.6240
+8.8000 +6.7677 +5.1313 +4.9386 +4.9167 +4.4757 +4.5985 +4.4714 +3.9796 +4.0067 +3.7201
+8.8500 +7.1043 +5.2812 +5.0845 +5.0643 +4.6239 +4.7459 +4.6221 +4.1328 +4.1604 +3.8644
+8.9000 +7.4564 +5.4369 +5.2308 +5.1885 +4.7548 +4.8641 +4.7412 +4.2509 +4.2749 +3.9408
+8.9500 +7.8435 +5.6146 +5.3644 +5.3706 +4.8658 +5.0088 +4.8669 +4.3316 +4.3606 +4.0188
+9.0000 +8.2194 +5.7971 +5.5284 +5.5483 +4.9858 +5.1464 +4.9884 +4.4079 +4.4387 +4.0914
+9.0500 +8.5661 +5.9806 +5.7171 +5.7058 +5.1106 +5.2733 +5.1039 +4.4897 +4.5194 +4.1554
+9.1000 +8.8626 +6.1531 +5.8758 +5.8477 +5.2159 +5.3991 +5.2112 +4.5717 +4.6025 +4.2294
+9.1500 +9.1506 +6.3217 +6.0294 +5.9698 +5.2957 +5.4955 +5.2848 +4.5976 +4.6337 +4.2096
+9.2000 +9.4170 +6.4764 +6.1014 +6.0273 +5.3209 +5.5428 +5.3099 +4.5987 +4.6289 +4.1540
+9.2500 +9.6594 +6.6872 +6.3887 +6.3102 +5.6066 +5.8141 +5.5938 +4.8791 +4.9127 +4.4237
+9.3000 +9.8894 +6.8585 +6.5435 +6.4623 +5.7543 +5.9662 +5.7418 +5.0217 +5.0565 +4.5469
+9.3500 +10.0330 +7.0222 +6.6921 +6.6043 +5.8892 +6.1056 +5.8774 +5.1518 +5.1877 +4.6623
+9.4000 +10.3233 +7.1899 +6.8420 +6.7413 +6.0161 +6.2381 +6.0054 +5.2732 +5.3095 +4.7721
+9.4500 +10.5625 +7.3538 +6.9961 +6.8737 +6.1351 +6.3640 +6.1254 +5.3861 +5.4227 +4.8749
+9.5000 +10.7219 +7.5229 +7.1658 +7.0081 +6.2491 +6.4848 +6.2382 +5.4879 +5.5248 +4.9628
+9.5500 +11.0939 +7.6963 +7.3379 +7.1435 +6.3664 +6.6096 +6.3549 +5.5925 +5.6294 +5.0620
+9.6000 +11.3031 +7.8655 +7.5082 +7.2736 +6.4778 +6.7269 +6.4643 +5.6911 +5.7286 +5.1521
+9.6500 +11.4081 +8.0388 +7.6802 +7.4070 +6.5943 +6.8494 +6.5797 +5.7992 +5.8356 +5.2534
+9.7000 +11.5120 +8.2073 +7.8460 +7.5392 +6.7141 +6.9733 +6.6972 +5.9026 +5.9400 +5.3524
+9.7500 +11.6342 +8.3665 +7.9971 +7.6592 +6.8206 +7.0841 +6.8026 +6.0037 +6.0403 +5.4451
+9.8000 +11.9013 +8.5265 +8.1341 +7.7694 +6.9204 +7.1893 +6.9002 +6.0876 +6.1254 +5.5235
+9.8500 +12.0926 +8.6342 +8.2252 +7.8637 +7.0143 +7.2831 +6.9940 +6.1806 +6.2175 +5.6121
+9.9000 +12.2306 +8.7786 +8.3369 +7.9654 +7.1097 +7.3816 +7.0885 +6.2717 +6.3081 +5.6918
+9.9500 +12.7492 +8.9601 +8.4670 +8.0866 +7.2228 +7.4974 +7.1987 +6.3701 +6.4078 +5.7804
+10.0000 +12.4460 +9.0987 +8.4974 +8.1428 +7.2713 +7.5480 +7.2410 +6.3940 +6.4293 +5.7654
+10.0500 +12.8520 +9.3094 +8.6792 +8.3308 +7.4627 +7.7427 +7.4350 +6.5890 +6.6278 +5.9755
+10.1000 +13.2441 +9.4879 +8.7702 +8.4361 +7.5650 +7.8494 +7.5349 +6.6773 +6.7180 +6.0511
+10.1500 +13.5170 +9.6746 +8.8970 +8.5637 +7.6880 +7.9756 +7.6553 +6.7881 +6.8301 +6.1509
+10.2000 +13.0780 +9.8355 +9.0104 +8.6715 +7.7896 +8.0825 +7.7531 +6.8681 +6.9138 +6.2213
+10.2500 +13.4856 +10.0306 +9.1246 +8.7889 +7.9043 +8.2061 +7.8670 +6.9750 +7.0215 +6.3088
+10.3000 +13.3638 +10.2153 +9.2438 +8.9044 +8.0145 +8.3226 +7.9727 +7.0673 +7.1165 +6.3854
