# id_ ra dec Name RA Dec Type Source
36919.0 204.2526192 -29.8666868 [HCG2001]Cl*31 204.25254 -29.86669 Cl* S
37007.0 204.2520839 -29.8666384 [HCG2001]Cl*22 204.25212 -29.86667 Cl* S
37038.0 204.2519439 -29.8666237 [HCG2001]Cl*15 204.25192 -29.86658 Cl* S
37038.0 204.2519439 -29.8666237 [HCG2001]Cl*16 204.25192 -29.86664 Cl* S
37038.0 204.2519439 -29.8666237 [WLC2011]07 204.25175 -29.86662 Cl* NS
37038.0 204.2519439 -29.8666237 [WLC2011]08 204.25183 -29.86666 Cl* NS
37095.0 204.2523893 -29.8665896 [WCK2011]47 204.2523893 -29.8665896 Cl* S
37260.0 204.2524795 -29.8665029 [HCG2001]Cl*29 204.2525 -29.86644 Cl* S
37317.0 204.2530866 -29.8664735 [HCG2001]Cl*37 204.25312 -29.86653 Cl* S
37472.0 204.2518113 -29.866396 [HCG2001]Cl*11 204.25179 -29.86647 Cl* S
37472.0 204.2518113 -29.866396 [HT2008]10 204.25183 -29.86653 Cl* S
37533.0 204.2515469 -29.8663581 [WLC2011]06 204.25154 -29.86652 Cl* NS
37565.0 204.2516227 -29.8663376 [HT2008]9 204.25163 -29.86644 Cl* S
37589.0 204.2519048 -29.8663287 [WCK2011]45 204.2519048 -29.8663287 Cl* S
37591.0 204.2550827 -29.8663284 [HCG2001]Cl*45 204.255 -29.86625 Cl* S
37680.0 204.2519482 -29.8662813 [L2004]n5236-880 204.25192 -29.86625 Cl* S
37744.0 204.2516162 -29.8662466 [HT2008]8 204.25154 -29.86614 Cl* S
37744.0 204.2516162 -29.8662466 [WLC2011]05 204.25142 -29.8662 Cl* NS
37853.0 204.2517402 -29.8661799 [L2004]n5236-882 204.25179 -29.86617 Cl* S
37891.0 204.252674 -29.8661593 [HCG2001]Cl*32 204.25275 -29.86611 Cl* S
38003.0 204.2529726 -29.8661063 [HCG2001]Cl*34 204.253 -29.86608 Cl* S
38003.0 204.2529726 -29.8661063 [HCG2001]Cl*36 204.25308 -29.86614 Cl* S
38004.0 204.2516967 -29.8661058 [HCG2001]Cl*10 204.25167 -29.86614 Cl* S
38284.0 204.2520891 -29.8659578 [HCG2001]Cl*20 204.25208 -29.86597 Cl* S
38294.0 204.2518736 -29.8659471 [HCG2001]Cl*12 204.25183 -29.86592 Cl* S
38352.0 204.2517569 -29.8659199 [WLC2011]04 204.25175 -29.86598 Cl* NS
38407.0 204.2542624 -29.8658977 [L2004]n5236-887 204.25429 -29.86586 Cl* S
38408.0 204.2519283 -29.8658975 [HCG2001]Cl*14 204.25192 -29.86592 Cl* S
38448.0 204.2513602 -29.8658728 [HCG2001]Cl*6 204.25133 -29.86592 Cl* S
38462.0 204.2527348 -29.8658648 [HT2008]14 204.25275 -29.86575 Cl* S
38572.0 204.2530552 -29.865807 [HCG2001]Cl*35 204.25304 -29.86575 Cl* S
39316.0 204.2522199 -29.8654211 [WLC2011]03 204.25225 -29.86545 Cl* NS
39347.0 204.25222 -29.8654059 [HCG2001]Cl*24 204.25233 -29.86539 Cl* S
39379.0 204.251827 -29.8653904 [WLC2011]02 204.25188 -29.86539 Cl* NS
39395.0 204.252171 -29.8653839 [HCG2001]Cl*18 204.25204 -29.86544 Cl* S
39395.0 204.252171 -29.8653839 [HCG2001]Cl*21 204.25212 -29.86533 Cl* S
39574.0 204.2470432 -29.8652853 [L2004]n5236-897 204.247 -29.86544 Cl* S
39574.0 204.2470432 -29.8652853 [L99]n5236-897 204.247 -29.865431 Cl* S
39627.0 204.2521313 -29.8652514 [HCG2001]Cl*23 204.25217 -29.86522 Cl* S
39641.0 204.2520422 -29.8652426 [WLC2011]01 204.25204 -29.86526 Cl* NS
39652.0 204.2524595 -29.8652366 [HT2008]1 204.25242 -29.86533 Cl* S
39668.0 204.251944 -29.865229 [HCG2001]Cl*17 204.25196 -29.86533 Cl* S
39682.0 204.2491861 -29.8652249 [HT2008]17 204.24917 -29.86522 Cl* S
39713.0 204.2537077 -29.8652112 [L2004]n5236-896 204.25367 -29.86531 Cl* S
39842.0 204.2520397 -29.8651314 [HT2008]5 204.252 -29.86517 Cl* S
39842.0 204.2520397 -29.8651314 [WCK2011]20 204.2520397 -29.8651314 Cl* S
40102.0 204.2517361 -29.8649829 [HT2008]6 204.251821 -29.864928 Cl* S
40175.0 204.2514849 -29.8649376 [HT2008]7 204.251321 -29.864953 Cl* S
40616.0 204.2923095 -29.8646842 [L99]n5236-894 204.29237 -29.86472 Cl* S
40779.0 204.2926898 -29.8645926 [WCK2011]54 204.29269 -29.8645925 Cl* S
41736.0 204.251687 -29.8640556 [WCK2011]3 204.251687 -29.864056 Cl* S
42437.0 204.2927245 -29.8636611 [L99]n5236-908 204.29271 -29.86364 Cl* S
42641.0 204.2511953 -29.8635419 [HT2008]4 204.25117 -29.86344 Cl* S
42764.0 204.2516318 -29.8634674 [HCG2001]Cl*7 204.25154 -29.86347 Cl* S
46572.0 204.2634717 -29.8608741 [SL2011]1_286 204.2635 -29.86088 Cl* NS
48957.0 204.258167 -29.8591993 [SL2011]1_547 204.25817 -29.85912 Cl* NS
49687.0 204.2574248 -29.8586713 [SL2011]1_550 204.2575 -29.85865 Cl* NS
49790.0 204.2546965 -29.8585957 [WCK2011]17 204.2546967 -29.8585958 Cl* S
49893.0 204.2897929 -29.8585381 [WCK2011]46 204.2897929 -29.8585381 Cl* S
50838.0 204.2532116 -29.857984 [SL2011]1_543 204.25317 -29.85801 Cl* NS
51213.0 204.2591648 -29.8577803 [SL2011]1_564 204.25921 -29.85781 Cl* NS
51548.0 204.251836 -29.8576028 [SL2011]1124 204.251833 -29.857614 Cl* S
51548.0 204.251836 -29.8576028 [SL2011]1_124 204.25183 -29.85761 Cl* N
51654.0 204.2536289 -29.8575528 [SL2011]1_545 204.25342 -29.85743 Cl* NS
51654.0 204.2536289 -29.8575528 [SL2011]1_548 204.2535 -29.85736 Cl* NS
52118.0 204.2559375 -29.8573359 [SL2011]1_557 204.25592 -29.85732 Cl* NS
52675.0 204.2524426 -29.857084 [SL2011]1_549 204.25267 -29.85703 Cl* NS
52799.0 204.2501564 -29.8570298 [SL2011]1123 204.250208 -29.857056 Cl* S
52799.0 204.2501564 -29.8570298 [SL2011]1_123 204.25021 -29.85706 Cl* N
52827.0 204.2505616 -29.8570183 [SL2011]1_542 204.2505 -29.85711 Cl* NS
53072.0 204.2889299 -29.8569125 [WCK2011]7 204.28893 -29.8569125 Cl* S
53144.0 204.2597478 -29.856877 [SL2011]1_575 204.25979 -29.85686 Cl* NS
53323.0 204.2624309 -29.8567947 [SL2011]1_581 204.26246 -29.85679 Cl* NS
53451.0 204.2510312 -29.8567398 [SL2011]1_544 204.25108 -29.85674 Cl* NS
54059.0 204.2576788 -29.856442 [SL2011]1_572 204.25771 -29.85644 Cl* NS
54268.0 204.2932226 -29.8563319 [WCK2011]38 204.2932225 -29.8563319 Cl* S
54416.0 204.2898224 -29.8562536 [WCK2011]78 204.2898225 -29.8562536 Cl* S
54735.0 204.2572823 -29.8560858 [SL2011]1_574 204.25733 -29.85608 Cl* NS
54769.0 204.2424762 -29.8560669 [L2004]n5236-1045 204.2425 -29.856 Cl* S
55777.0 204.2575585 -29.8555199 [SL2011]1_577 204.25758 -29.8555 Cl* NS
55985.0 204.2695705 -29.8553997 [SL2011]1_157 204.26962 -29.85541 Cl* NS
56231.0 204.2519197 -29.855268 [SL2011]1_561 204.25188 -29.85532 Cl* NS
56312.0 204.2667766 -29.8552211 [SL2011]1_603 204.26683 -29.85521 Cl* NS
56489.0 204.2643977 -29.8551307 [SL2011]1147 204.264417 -29.855131 Cl* S
56489.0 204.2643977 -29.8551307 [SL2011]1_147 204.26442 -29.85513 Cl* N
56648.0 204.2439 -29.8550377 [SL2011]1122 204.243958 -29.855042 Cl* S
56648.0 204.2439 -29.8550377 [SL2011]1_122 204.24396 -29.85504 Cl* N
56899.0 204.2595886 -29.8549052 [SL2011]1_584 204.25958 -29.85491 Cl* NS
57062.0 204.2561021 -29.8548169 [SL2011]1_579 204.25612 -29.85482 Cl* NS
57573.0 204.2674329 -29.854557 [SL2011]1_606 204.26746 -29.85458 Cl* NS
57828.0 204.2427104 -29.8544384 [SL2011]1_448 204.24271 -29.85449 Cl* NS
58170.0 204.2474459 -29.8542639 [SL2011]1_556 204.2475 -29.85427 Cl* NS
58363.0 204.2831825 -29.8541717 [WCK2011]69 204.2831825 -29.8541717 Cl* S
58394.0 204.2470871 -29.8541567 [SL2011]1129 204.247125 -29.854158 Cl* S
58394.0 204.2470871 -29.8541567 [SL2011]1_129 204.24713 -29.85416 Cl* N
58513.0 204.2668809 -29.8540983 [SL2011]1_608 204.26687 -29.85411 Cl* NS
58574.0 204.2588761 -29.854072 [SL2011]1_590 204.25887 -29.85408 Cl* NS
58583.0 204.2619905 -29.8540679 [SL2011]1_600 204.26204 -29.85407 Cl* NS
58622.0 204.248822 -29.8540528 [SL2011]1_563 204.24887 -29.85406 Cl* NS
58862.0 204.2583947 -29.853926 [SL2011]1_589 204.25842 -29.85391 Cl* NS
58876.0 204.246343 -29.8539218 [SL2011]1_287 204.24638 -29.85392 Cl* NS
58903.0 204.24504 -29.853905 [SL2011]11 204.245042 -29.853872 Cl* S
58911.0 204.2807662 -29.8539005 [WCK2011]68 204.2807663 -29.8539006 Cl* S
58987.0 204.2450014 -29.853863 [SL2011]1_001 204.24504 -29.85387 Cl* N
59214.0 204.2818977 -29.8537395 [WCK2011]10 204.2818975 -29.8537394 Cl* S
59314.0 204.2572846 -29.8536809 [SL2011]1587 204.257292 -29.853689 Cl* S
59449.0 204.2467546 -29.8536232 [SL2011]1_450 204.24675 -29.85366 Cl* NS
59577.0 204.2467354 -29.8535598 [SL2011]1_451 204.24679 -29.85357 Cl* NS
59608.0 204.25283 -29.8535429 [SL2011]1_578 204.25271 -29.85356 Cl* NS
59844.0 204.244965 -29.8534137 [SL2011]1_449 204.24496 -29.85342 Cl* NS
60540.0 204.2606735 -29.8530679 [SL2011]1150 204.260708 -29.853067 Cl* S
60540.0 204.2606735 -29.8530679 [SL2011]1_150 204.26071 -29.85307 Cl* N
60590.0 204.2541055 -29.8530393 [SL2011]1142 204.254167 -29.853047 Cl* S
60590.0 204.2541055 -29.8530393 [SL2011]1_142 204.25417 -29.85305 Cl* N
61167.0 204.2457468 -29.8527148 [SL2011]1_002 204.24579 -29.85271 Cl* NS
61255.0 204.2544913 -29.8526675 [SL2011]1_586 204.25454 -29.85267 Cl* NS
61321.0 204.2622372 -29.8526345 [SL2011]1158 204.262292 -29.852622 Cl* S
61321.0 204.2622372 -29.8526345 [SL2011]1_158 204.26229 -29.85262 Cl* N
61790.0 204.2623716 -29.8523983 [SL2011]1_159 204.26242 -29.8524 Cl* NS
61923.0 204.263904 -29.8523354 [WCK2011]27 204.263904 -29.852336 Cl* S
61963.0 204.2864196 -29.8523173 [L99]n5236-1091 204.28642 -29.85228 Cl* S
61979.0 204.2542119 -29.852307 [SL2011]1146 204.25425 -29.852314 Cl* S
61979.0 204.2542119 -29.852307 [SL2011]1_146 204.25425 -29.85231 Cl* N
62244.0 204.2690465 -29.8521842 CXOUJ133704.5-295108 204.26913 -29.85231 Cl* NS
62345.0 204.2687748 -29.8521418 [SL2011]1170 204.26875 -29.852142 Cl* S
62554.0 204.2528918 -29.8520498 [SL2011]1144 204.252917 -29.852058 Cl* S
62554.0 204.2528918 -29.8520498 [SL2011]1_144 204.25292 -29.85206 Cl* N
