# band1    band2    band3   band4   n_clusters
mag05_336 mag05_225 mag05_814 mag05_673 3
mag05_336 mag05_225 mag05_673 mag05_555 3
mag05_336 mag05_225 mag05_673 mag05_502 3
mag05_336 mag05_225 mag05_673 mag05_438 3
mag05_336 mag05_225 mag05_673 mag05_373 3
mag05_336 mag05_225 mag05_673 mag05_225 3
mag05_336 mag05_225 mag05_673 mag05_487 3
mag05_336 mag05_225 mag05_673 mag05_657 3
