# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
meanshift 8 6 1038 0.546477476421 0.71854639088 0.4642 0.4686  2.0917 0.0010 0.3270 0.987 1.1155  0.1524 0.5064
meanshift 8 7 2 0.546477476421 0.829326813077 1.4741 0.1010  0.1010 0.1010 0.7484 -2.0175 -0.5225  -2.0175 -0.5225
meanshift 8 8 1 0.546477476421 1.0 N/A N/A N/A N/A 1.1755 -3.378 -1.027  -3.3780 -1.0270
meanshift 7 1 13305 0.466487655649 0.466750312744 0.8555 0.6865  3.8528 0.0000 0.6862 -0.00514539886248 -1.38072145253  0.0143 -1.0361
meanshift 7 2 70 0.466487655649 0.435547482053 1.2070 0.4691  1.2247 0.0072 0.2633 -1.648 -1.2613125  -1.1739 -1.1821
meanshift 7 3 6 0.466487655649 0.599012158854 1.6974 0.2778  0.5489 0.0362 0.5449 -2.13483333333 -1.08033333333  -2.1348 -1.0803
meanshift 7 4 2 0.466487655649 0.375938463883 2.1810 0.2572  0.2572 0.2572 0.9581 -2.913 -1.0055  -2.9130 -1.0055
meanshift 7 5 4 0.466487655649 -0.206023543278 1.1572 1.6000  2.4450 0.1010 1.0663 -2.0175 -0.5225  -1.1247 0.2257
meanshift 7 6 2 0.466487655649 0.573309319498 2.2934 0.2010  0.2010 0.2010 0.7083 -2.886 -1.4765  -2.8860 -1.4765
meanshift 7 7 1 0.466487655649 1.0 N/A N/A N/A N/A 1.1755 -3.378 -1.027  -3.3780 -1.0270
meanshift 7 1 13298 0.4540769809 0.454266295925 0.8555 0.6862  3.8528 0.0000 0.6863 -0.00558051529791 -1.37075040258  0.0147 -1.0360
meanshift 7 2 77 0.4540769809 0.435978551258 1.1888 0.4725  1.2661 0.0072 0.2671 -1.54104761905 -1.13123809524  -1.1373 -1.1795
meanshift 7 3 6 0.4540769809 0.602146707238 1.6974 0.2778  0.5489 0.0362 0.5449 -2.13483333333 -1.08033333333  -2.1348 -1.0803
meanshift 7 4 2 0.4540769809 0.375938463883 2.1810 0.2572  0.2572 0.2572 0.9581 -2.913 -1.0055  -2.9130 -1.0055
meanshift 7 5 4 0.4540769809 -0.20603830411 1.1572 1.6000  2.4450 0.1010 1.0663 -2.0175 -0.5225  -1.1247 0.2257
meanshift 7 6 2 0.4540769809 0.573309319498 2.2934 0.2010  0.2010 0.2010 0.7083 -2.886 -1.4765  -2.8860 -1.4765
meanshift 7 7 1 0.4540769809 1.0 N/A N/A N/A N/A 1.1755 -3.378 -1.027  -3.3780 -1.0270
meanshift 6 1 13307 0.48909570808 0.489378898328 0.8555 0.6869  3.8528 0.0000 0.6863 -0.00702031857519 -1.36114498934  0.0143 -1.0358
meanshift 6 2 70 0.48909570808 0.429251249558 1.2070 0.4691  1.2247 0.0072 0.2633 -1.65070588235 -1.23858823529  -1.1739 -1.1821
meanshift 6 3 6 0.48909570808 0.505394866331 1.6974 0.2778  0.5489 0.0362 0.5449 -2.13483333333 -1.08033333333  -2.1348 -1.0803
meanshift 6 4 3 0.48909570808 0.278513466874 2.2910 0.3968  0.5910 0.2572 1.0420 -3.068 -1.01266666667  -3.0680 -1.0127
meanshift 6 5 2 0.48909570808 0.82914179775 1.4741 0.1010  0.1010 0.1010 0.7484 -2.016 -0.655333333333  -2.0175 -0.5225
meanshift 6 6 2 0.48909570808 0.626375234403 2.2934 0.2010  0.2010 0.2010 0.7083 -2.886 -1.4765  -2.8860 -1.4765
meanshift 3 1 13340 0.587459179975 0.587473966211 0.8562 0.6890  3.8528 0.0000 0.6861 -0.00793700225841 -1.35273540949  0.0119 -1.0362
meanshift 3 2 45 0.587459179975 0.571827440361 1.3653 0.5212  1.3639 0.0072 0.3589 -2.13483333333 -1.08033333333  -1.5218 -1.1128
meanshift 3 3 5 0.587459179975 0.688695159832 2.2919 0.4692  0.7279 0.2010 0.9257 -2.8995 -1.241  -2.9952 -1.1982
kmeans 7 1 83 0.355864900784 0.338393051154 1.3438 0.7086  2.5583 0.0072 0.4490 -1.37337349398 -1.1598313253  -1.3734 -1.1598
kmeans 7 2 3891 0.355864900784 0.398469463596 1.0814 0.2009  1.2263 0.0000 0.7731 0.00948323013416 -1.52082172343  0.0083 -1.5206
kmeans 7 3 1881 0.355864900784 0.243637952158 0.9737 0.2605  1.1694 0.0000 0.5514 -0.271559894459 -1.33419050132  -0.2723 -1.3326
