#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 N/A N/A N/A experiments.txt 18719.0540899 0.396870562134 3 29060 13272 11767  4021     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 N/A N/A N/A experiments.txt 13979.8885809 0.351557301053 4 29060 11598  7675  6243  3544     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 N/A N/A N/A experiments.txt 11840.8096143 0.319638611528 5 29060 9012 8351 5584 3422 2691    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 N/A N/A N/A experiments.txt 10425.3625663 0.32029128317 6 29060 8828 7199 5112 3612 2582 1727    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 N/A N/A N/A experiments.txt 9209.85058852 0.317606113989 7 29060 7150 6004 4814 4695 2478 2350 1569    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 N/A N/A N/A experiments.txt 8235.40626271 0.306920095573 8 29060 5907 5458 4520 4461 3871 2207 1535 1101    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 1.0690 N/A N/A N/A N/A 0.476831604545 2 29060 29059     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 0.6000 N/A N/A N/A N/A 0.0182281345926 18 29060 23743  1924  1119   614   525   395   332   278    75    30     7     7     3     3     2     1     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 0.6500 N/A N/A N/A N/A 0.0277504794735 15 29060 24098  1942  1149   683   412   310   281   118    50     7     3     2     2     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 0.7000 N/A N/A N/A N/A 0.0346009408889 11 29060 27239   761   358   258   247   135    50     6     3     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 0.7500 N/A N/A N/A N/A 0.144686262202 7 29060 28273   318   168   142   125    33     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_657 mag05_814 mag05_336 mag05_657 mag05_555 mag05_657 0.8000 N/A N/A N/A N/A 0.143602309857 7 29060 28287   295   174   142   128    33     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
