# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc
2708.96 772.307 204.2664853 -29.8796816 10114.0 2.751 23.699 20.948 14.467 0.95861 0.0 22.309 0.0329 19.659 0.0097 23.075 0.0288 20.293 0.008 23.101 0.0591333333333 20.683 0.0194 24.5 0.0275 21.752 0.0078 24.239 0.0633333333333 21.597 0.0188 24.555 0.0620666666667 21.933 0.0185333333333 24.435 0.0182 21.797 0.0054 24.007 0.0498 21.133 0.0132666666667 24.387 0.0588 21.857 0.0183333333333 24.704 0.035 22.03 0.0102
1551.77 796.328 204.2813174 -29.8794141 10783.0 2.07 24.324 22.254 8.135 1.0362 0.0 23.537 0.058 21.245 0.0202 23.636 0.0372 21.593 0.0145 25.822 0.2074 22.528 0.0455333333333 25.151 0.0372 23.089 0.0144 25.235 0.1002 23.007 0.036 25.252 0.0855333333333 23.155 0.0326 25.203 0.026 23.147 0.0102 25.135 0.0836666666667 22.187 0.0215333333333 25.525 0.0993333333333 23.36 0.0368 25.404 0.0484 23.354 0.0192
1943.58 864.316 204.2762954 -29.8786591 12505.0 3.214 25.943 22.729 1.831 1.1352 0.0 29.838 1.0811 25.715 0.1607 27.442 0.2151 24.058 0.0453 28.754 0.812666666667 23.809 0.0824 26.805 0.0797 23.55 0.0178 26.681 0.195266666667 23.229 0.0398666666667 26.556 0.156 23.167 0.0328 26.252 0.0422 22.991 0.0094 25.217 0.0868666666667 21.816 0.0181333333333 25.599 0.1028 22.414 0.0237333333333 25.287 0.0459 21.926 0.0098
806.999 872.298 204.2908632 -29.8785688 12721.0 2.318 24.738 22.42 5.557 0.84751 0.0 24.718 0.0999 22.383 0.0341 24.328 0.0512 22.055 0.018 24.374 0.106333333333 21.851 0.0333333333333 25.56 0.0449 23.277 0.0157 24.733 0.0795333333333 22.194 0.0247333333333 25.115 0.0803333333333 22.485 0.0239333333333 25.358 0.0279 22.938 0.0092 23.799 0.0452 20.558 0.0102 25.057 0.0800666666667 22.545 0.0252 25.014 0.0403 22.525 0.0129
3625.77 894.705 204.2547344 -29.8783208 13265.0 2.427 22.734 20.307 35.199 1.6097 0.0 21.353 0.0212 18.892 0.0068 21.956 0.0172 19.584 0.0058 22.513 0.0451333333333 20.076 0.0146666666667 23.595 0.0182 21.137 0.0059 23.474 0.0445333333333 21.044 0.0145333333333 23.646 0.0408 21.249 0.0135333333333 23.711 0.0131 21.27 0.0043 23.508 0.0395333333333 20.699 0.0108666666667 23.874 0.0464 21.437 0.0151333333333 23.954 0.0248 21.444 0.0079
2023.21 954.848 204.2752747 -29.8776532 14748.0 3.26 25.443 22.183 2.902 1.0361 0.0 26.35 0.2118 23.061 0.0466 25.968 0.109 22.715 0.0244 25.902 0.215066666667 22.657 0.0482666666667 26.014 0.0553 22.758 0.0124 26.005 0.142866666667 22.554 0.0292 25.958 0.118466666667 22.714 0.0266 25.875 0.0354 22.584 0.0078 25.246 0.0880666666667 21.777 0.0178 25.718 0.1086 22.35 0.023 25.424 0.049 22.11 0.0107
819.958 1048.59 204.2906967 -29.8766101 17035.0 2.214 22.967 20.753 28.397 0.95452 0.0 21.892 0.0272 19.748 0.0101 22.291 0.02 20.136 0.0074 22.614 0.0472666666667 20.542 0.0182 23.836 0.0203 21.545 0.0071 23.31 0.0412666666667 21.213 0.0157333333333 23.748 0.0428 21.673 0.0164666666667 23.832 0.0138 21.594 0.0049 23.226 0.0347333333333 20.738 0.0110666666667 23.896 0.0468666666667 21.7 0.0170666666667 23.893 0.024 21.665 0.0086
3084.88 1054.37 204.2616672 -29.8765474 17159.0 3.158 23.995 20.837 11.012 1.7737 0.0 24.385 0.0857 21.317 0.0209 24.365 0.0521 21.159 0.0119 24.449 0.110066666667 21.256 0.0252666666667 24.679 0.0299 21.505 0.0069 24.396 0.0680666666667 21.228 0.0158 24.504 0.0606 21.381 0.0144 24.472 0.0186 21.289 0.0043 23.864 0.0466 20.7 0.0108666666667 24.153 0.0528 20.937 0.012 23.802 0.0231 20.628 0.0054
455.168 1072.07 204.2953721 -29.8763483 17604.0 2.691 27.65 24.959 0.38 0.61902 0.0 27.912 0.436 25.117 0.1209 28.042 0.2839 25.373 0.0833 27.565 0.465733333333 24.553 0.1172 28.474 0.1725 25.736 0.0493 29.142 0.613 25.611 0.120933333333 29.216 0.5406 26.423 0.153066666667 28.093 0.0996 25.41 0.0296 26.482 0.1556 23.04 0.0318666666667 28.128 0.3328 25.008 0.0798666666667 27.752 0.152 25.275 0.0551
1270.96 1090.79 204.2849161 -29.876142 18032.0 2.978 23.913 20.935 11.884 1.5096 0.0 23.966 0.0706 21.02 0.0182 23.921 0.0425 21.023 0.0112 24.167 0.0966666666667 21.235 0.0250666666667 24.684 0.03 21.671 0.0075 24.392 0.0679333333333 21.421 0.0173333333333 24.597 0.0632666666667 21.588 0.0158 24.481 0.0187 21.503 0.0048 23.988 0.0493333333333 20.825 0.0114666666667 24.215 0.0542666666667 21.149 0.0132666666667 23.917 0.0243 20.808 0.0058
