# x y ra dec id_ ci_white mag0.5_white mag3_white flux_white msky_white flag mag05_225 mag05_225_unc mag3_225 mag3_225_unc mag05_336 mag05_336_unc mag3_336 mag3_336_unc mag05_373 mag05_373_unc mag3_373 mag3_373_unc mag05_438 mag05_438_unc mag3_438 mag3_438_unc mag05_487 mag05_487_unc mag3_487 mag3_487_unc mag05_502 mag05_502_unc mag3_502 mag3_502_unc mag05_555 mag05_555_unc mag3_555 mag3_555_unc mag05_657 mag05_657_unc mag3_657 mag3_657_unc mag05_673 mag05_673_unc mag3_673 mag3_673_unc mag05_814 mag05_814_unc mag3_814 mag3_814_unc
840.386 973.22 204.290435 -29.8774475 15229.0 2.194 27.082 24.888 0.641 0.64629 0.0 27.612 0.3801 25.857 0.1729 26.73 0.155 24.87 0.0663 27.125 0.378733333333 24.848 0.134266666667 27.775 0.1248 25.808 0.0513 25.154 0.0964666666667 22.707 0.0313333333333 28.287 0.348666666667 26.413 0.152066666667 27.774 0.0858 25.716 0.0346 26.38 0.148466666667 23.004 0.0313333333333 27.642 0.264666666667 25.61 0.106266666667 28.141 0.1771 26.247 0.0872
1166.67 1153.28 204.2862527 -29.8754475 19587.0 2.614 26.723 24.109 0.893 1.1111 0.0 25.567 0.1479 23.274 0.0517 26.221 0.123 24.01 0.0451 26.624 0.300866666667 -99.0 -99.0 27.743 0.1248 25.234 0.0408 28.397 0.437933333333 -99.0 -99.0 27.867 0.2876 25.225 0.0864666666667 27.788 0.0907 25.485 0.0359 25.371 0.0932666666667 21.93 0.0191333333333 27.439 0.2426 25.46 0.102266666667 27.544 0.1367 24.511 0.0355
898.7 1274.15 204.2896869 -29.874104 22380.0 1.849 27.937 26.088 0.292 0.79006 0.0 32.326 4.1613 26.219 0.2057 28.029 0.283 27.006 0.1877 27.311 0.413733333333 23.57 0.0738666666667 29.714 0.3121 -99.0 -99.0 -99.0 -99.0 29.264 0.903933333333 28.879 0.458533333333 28.603 0.480666666667 28.774 0.1403 30.499 1.1435 26.062 0.128266666667 22.699 0.0272666666667 31.911 2.80653333333 -99.0 -99.0 27.66 0.1422 -99.0 -99.0
996.645 1369.42 204.2884314 -29.8730456 24618.0 2.448 25.892 23.444 1.919 0.9532 0.0 26.439 0.2208 24.094 0.0752 25.781 0.1001 23.373 0.0331 25.612 0.1882 23.54 0.0728666666667 26.807 0.0799 24.258 0.0248 26.413 0.172533333333 23.796 0.0518 26.655 0.1634 24.165 0.0521333333333 26.302 0.0433 23.818 0.0139 25.078 0.0815333333333 21.927 0.0190666666667 26.271 0.1402 23.637 0.0418 26.128 0.0679 23.479 0.0204
3996.2 1480.72 204.2499878 -29.871809 27414.0 2.093 27.008 24.915 0.687 1.7951 0.0 -99.0 -99.0 24.431 0.0879 28.022 0.2818 25.72 0.0988 -99.0 -99.0 -99.0 -99.0 27.814 0.1274 25.827 0.0522 26.987 0.225533333333 24.554 0.0744 27.567 0.2496 26.443 0.155866666667 27.428 0.0743 25.5 0.0339 24.266 0.0560666666667 20.796 0.0113333333333 26.268 0.140866666667 23.769 0.0452666666667 26.961 0.1088 24.919 0.0551
3960.33 1493.67 204.2504475 -29.8716652 27776.0 2.715 25.187 22.472 3.674 2.3884 0.0 29.188 0.798 26.039 0.1899 26.458 0.1389 23.177 0.031 25.897 0.2156 23.074 0.0591333333333 26.308 0.0649 23.456 0.0179 25.397 0.109266666667 22.563 0.0300666666667 25.594 0.100466666667 22.797 0.0278666666667 25.511 0.0317 22.712 0.0093 23.394 0.0375333333333 19.988 0.0078 24.595 0.0654 21.947 0.0196 24.414 0.0318 21.788 0.0101
2078.66 1553.66 204.2745636 -29.8709998 29250.0 2.181 25.77 23.589 2.148 0.78666 0.0 25.527 0.1449 23.417 0.0549 25.401 0.0839 23.239 0.031 26.01 0.226133333333 23.889 0.0855333333333 26.606 0.0726 24.378 0.0261 26.385 0.170333333333 24.331 0.0664666666667 26.635 0.1618 24.436 0.059 26.499 0.0473 24.407 0.0182 25.467 0.0975333333333 22.393 0.0236666666667 26.527 0.157933333333 24.747 0.0707333333333 26.305 0.0736 24.296 0.03
1297.06 1654.99 204.2845806 -29.8698732 31380.0 2.559 26.086 23.527 1.605 1.191 0.0 25.891 0.1716 23.219 0.0503 25.697 0.0967 23.114 0.0297 26.171 0.244266666667 23.131 0.0604666666667 27.04 0.0901 24.371 0.027 26.491 0.179533333333 23.941 0.0561333333333 27.121 0.203666666667 24.287 0.0557333333333 26.794 0.0562 24.279 0.0191 24.743 0.0698666666667 21.267 0.0140666666667 27.241 0.222866666667 24.291 0.0585333333333 26.54 0.0864 24.122 0.0321
1210.34 1669.04 204.285692 -29.8697169 31659.0 2.764 25.904 23.14 1.898 1.1003 0.0 25.658 0.1542 23.465 0.0565 25.387 0.0837 23.014 0.0284 26.014 0.227533333333 23.096 0.0597333333333 26.786 0.0793 23.9 0.0212 26.595 0.190266666667 23.257 0.0412 26.836 0.178466666667 23.713 0.0425333333333 26.536 0.0493 23.582 0.013 24.341 0.0580666666667 20.765 0.0112 26.651 0.170466666667 23.602 0.0427333333333 26.08 0.0667 22.883 0.0155
1240.67 1687.69 204.2853033 -29.8695097 32016.0 2.924 27.675 24.751 0.371 0.77682 0.0 30.981 1.8819 -99.0 -99.0 27.865 0.2635 25.075 0.0737 -99.0 -99.0 26.222 0.271733333333 28.668 0.1932 25.89 0.0558 29.03 0.614866666667 25.364 0.114 30.808 1.26293333333 28.196 0.451333333333 28.232 0.1117 25.363 0.032 25.136 0.0837333333333 21.669 0.0169333333333 28.483 0.4106 25.522 0.111333333333 27.599 0.1509 24.838 0.0486
