# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
kmeans 5 2 656 0.334210722064 0.319612162069 1.3280 0.9208  4.2113 0.0180 0.8368 0.984088414634 0.173916158537 1.9355625 0.9841 0.1739 1.9356
kmeans 5 3 2541 0.334210722064 0.321463422518 0.5793 0.5527  3.1937 0.0028 0.4253 0.542324281779 -0.0786473829201 0.716015348288 0.5423 -0.0786 0.7160
kmeans 5 4 4600 0.334210722064 0.363082901678 0.4672 0.3908  1.6453 0.0014 0.4284 0.358743478261 -0.402168478261 -0.515485869565 0.3587 -0.4022 -0.5155
kmeans 5 5 4907 0.334210722064 0.327457836669 0.2700 0.3899  2.0243 0.0010 0.2691 0.287576115753 -0.200606276748 -0.0217236600774 0.2876 -0.2006 -0.0217
meanshift 4 1 12705 0.560071988436 0.569370136789 0.4795 0.8089  4.3469 0.0010 0.4782 0.318374824419 -0.281592544571 -0.216595245813 0.3938 -0.2584 -0.0281
meanshift 4 2 61 0.560071988436 0.667156323613 1.9428 0.9701  2.8507 0.0521 1.8728 2.61618181818 -2.55727272727 -2.36990909091 2.0468 -1.9368 -1.6606
meanshift 4 3 221 0.560071988436 -0.015655100981 1.3148 1.3740  3.8195 0.0135 1.0634 2.4632 -1.237 0.7448 1.5482 -0.3787 1.1500
meanshift 4 4 160 0.560071988436 0.576138035264 1.7507 0.8086  2.6058 0.0230 1.0292 1.677 1.225 4.414 1.1527 0.3917 2.7044
kmeans 6 1 426 0.314341463877 0.343365855424 1.4768 0.8895  3.6652 0.0230 0.9008 1.07120422535 0.239755868545 2.19994131455 1.0712 0.2398 2.1999
kmeans 6 2 3084 0.314341463877 0.279584754978 0.3680 0.4325  2.4278 0.0030 0.3179 0.41185538262 -0.160184500649 0.304426718547 0.4119 -0.1602 0.3044
kmeans 6 3 4939 0.314341463877 0.370856202515 0.2791 0.3266  1.5026 0.0010 0.2676 0.236170479854 -0.236847742458 -0.236815752177 0.2362 -0.2368 -0.2368
kmeans 6 4 2862 0.314341463877 0.273416768375 0.5574 0.4154  1.9897 0.0017 0.5150 0.458705450734 -0.495401816911 -0.602681341719 0.4587 -0.4954 -0.6027
kmeans 6 5 1513 0.314341463877 0.291267409256 0.7450 0.5842  3.1922 0.0028 0.5073 0.648490416391 -0.0255432914739 1.01379643093 0.6485 -0.0255 1.0138
kmeans 6 6 323 0.314341463877 0.214454555158 1.3207 1.0559  4.1676 0.0135 1.3006 1.44843034056 -1.24915170279 -0.887808049536 1.4484 -1.2492 -0.8878
meanshift 3 1 12774 0.596968117107 0.605384208993 0.4883 0.8235  5.4019 0.0010 0.4867 0.323309452012 -0.279901008631 -0.203658001456 0.3986 -0.2578 -0.0220
meanshift 3 2 203 0.596968117107 -0.0288506262498 1.5102 1.9464  6.1748 0.0135 1.4641 2.54785714286 -1.32357142857 0.571285714286 1.7892 -0.9475 0.2695
meanshift 3 3 170 0.596968117107 0.711874276868 1.7414 0.8130  2.6058 0.0230 1.0217 1.677 1.225 4.414 1.1725 0.3793 2.6788
kmeans 7 1 2497 0.321189252775 0.33951673218 0.3380 0.3766  1.6087 0.0028 0.2710 0.340675210252 -0.096485382459 0.361995594714 0.3407 -0.0965 0.3620
kmeans 7 2 1436 0.321189252775 0.269552622929 0.7562 0.5798  3.1922 0.0032 0.5118 0.661782033426 -0.0242834261838 1.03230431755 0.6618 -0.0243 1.0323
kmeans 7 3 274 0.321189252775 0.255867144324 1.3795 1.0357  4.0285 0.0135 1.3518 1.48939416058 -1.31334671533 -1.00181386861 1.4894 -1.3133 -1.0018
kmeans 7 4 421 0.321189252775 0.337595074111 1.4809 0.8883  3.6652 0.0230 0.9025 1.07504750594 0.240942992874 2.20650118765 1.0750 0.2409 2.2065
kmeans 7 5 2559 0.321189252775 0.314312307576 0.5556 0.3769  1.5645 0.0017 0.5020 0.419655334115 -0.482227041813 -0.651415396639 0.4197 -0.4822 -0.6514
kmeans 7 6 4293 0.321189252775 0.37903338534 0.2615 0.3004  1.2778 0.0010 0.2463 0.202110878174 -0.217692056837 -0.248343116702 0.2021 -0.2177 -0.2483
kmeans 7 7 1667 0.321189252775 0.20640288984 0.4832 0.4088  1.6863 0.0014 0.4805 0.630792441512 -0.431218356329 -0.0473851229754 0.6308 -0.4312 -0.0474
meanshift 7 1 12337 0.418526426698 0.426317117983 0.4513 0.7508  4.2393 0.0010 0.4512 0.304222235902 -0.283619182467 -0.245595296725 0.3789 -0.2681 -0.0751
meanshift 7 2 51 0.418526426698 0.365822440715 2.0129 0.9741  2.8507 0.0521 1.9343 2.82166666667 -2.6965 -2.38083333333 2.0988 -2.0046 -1.7644
meanshift 7 3 344 0.418526426698 0.379645494623 1.0416 0.6142  2.4072 0.0180 0.6643 2.221 -0.7748 1.2074 1.1307 -0.0372 1.3134
meanshift 7 4 40 0.418526426698 0.291226939472 1.4699 0.7491  2.0501 0.0135 1.4685 2.73275 -1.3605 0.569 1.9987 -1.3985 -0.4137
meanshift 7 5 32 0.418526426698 0.464355444315 2.1041 0.7031  1.8427 0.0543 1.1620 1.677 1.225 4.414 1.3225 0.6511 3.2888
meanshift 7 6 31 0.418526426698 0.268351793503 1.0520 0.7025  2.1878 0.0292 1.0248 1.711 -1.597 1.055 1.4050 -0.9679 0.2767
meanshift 7 7 312 0.418526426698 0.188494535983 1.4640 0.7726  2.3653 0.0230 0.8990 2.138 -0.842 2.388 1.0220 0.2126 2.2316
kmeans 8 1 3713 0.304103101861 0.372106949475 0.3455 0.2724  0.9976 0.0010 0.3109 0.248555346081 -0.296555076757 -0.404002154592 0.2486 -0.2966 -0.4040
kmeans 8 2 1495 0.304103101861 0.27274157118 0.6433 0.3962  1.5501 0.0017 0.5836 0.504959866221 -0.566325083612 -0.750442809365 0.5050 -0.5663 -0.7504
kmeans 8 3 1054 0.304103101861 0.230459757781 0.8531 0.6106  3.3244 0.0032 0.5652 0.721717267552 0.000667931688805 1.19458349146 0.7217 0.0007 1.1946
kmeans 8 4 2024 0.304103101861 0.318762358439 0.4429 0.3970  1.9176 0.0028 0.3272 0.435733695652 -0.0834071146245 0.543242094862 0.4357 -0.0834 0.5432
kmeans 8 5 1463 0.304103101861 0.18751611496 0.5076 0.4211  1.6713 0.0014 0.5048 0.665443609023 -0.45430758715 -0.053019822283 0.6654 -0.4543 -0.0530
kmeans 8 6 233 0.304103101861 0.242756092725 1.4377 1.0481  4.0285 0.0135 1.4116 1.57773390558 -1.37870815451 -1.01641201717 1.5777 -1.3787 -1.0164
kmeans 8 7 2822 0.304103101861 0.309060122162 0.2043 0.3050  1.1859 0.0017 0.2029 0.215067682495 -0.1465 0.00385329553508 0.2151 -0.1465 0.0039
kmeans 8 8 343 0.304103101861 0.342612883793 1.5476 0.8624  3.3599 0.0230 0.9268 1.1261574344 0.272781341108 2.31926822157 1.1262 0.2728 2.3193
