# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 cen_3 avg_col_1 avg_col_2 avg_col_3
meanshift 7 1 8210 0.551609249487 0.55731164229 0.8535 0.7275  3.9416 0.0014 0.4963 -0.33250192147 -1.03521019215 -1.04453851295 -0.2080 -0.9640 -0.9110
meanshift 7 2 211 0.551609249487 0.461454777572 1.8901 0.7630  2.2388 0.0227 1.5193 1.25176 -2.42806 -2.38321 0.9660 -2.1964 -2.1426
meanshift 7 3 38 0.551609249487 0.552426019333 2.8580 0.6819  1.4979 0.0215 2.4598 2.06886363636 -3.25313636364 -3.22186363636 1.9966 -3.1971 -3.1652
meanshift 7 4 4 0.551609249487 0.456971178995 3.9983 0.6311  1.0834 0.3157 3.5654 3.2215 -4.32675 -4.32325 3.2215 -4.3268 -4.3233
meanshift 7 5 62 0.551609249487 0.129309086264 1.1314 1.2351  3.5168 0.0322 1.1285 1.648 -2.119 -0.748 1.2501 -1.0273 -0.4632
meanshift 7 6 1 0.551609249487 0.0 N/A N/A N/A N/A 4.1448 3.621 -5.182 -5.161 3.6210 -5.1820 -5.1610
meanshift 7 7 131 0.551609249487 0.546171715597 0.7401 0.9395  3.9714 0.0223 0.5818 -1.659 0.28 0.216 0.2468 0.1390 0.9867
kmeans 3 1 305 0.551773382429 0.41832020177 2.0296 1.1987  6.1226 0.0173 1.6841 1.08972131148 -2.27993442623 -2.20776065574 1.0897 -2.2799 -2.2078
kmeans 3 2 1509 0.551773382429 0.326564314264 0.5159 0.8697  4.3840 0.0041 0.5084 0.266175612989 -0.457491716368 -0.0715692511597 0.2662 -0.4575 -0.0716
kmeans 3 3 6843 0.551773382429 0.60738403623 0.9066 0.5149  2.6036 0.0014 0.4276 -0.297533245652 -1.04954055239 -1.05105670028 -0.2975 -1.0495 -1.0511
meanshift 13 1 7813 0.491611511306 0.512922741772 0.8640 0.6309  2.8876 0.0014 0.4534 -0.345817630332 -1.04461232227 -1.06287222749 -0.2525 -0.9941 -0.9596
meanshift 13 2 234 0.491611511306 0.232499537205 1.8419 0.7844  2.0367 0.0227 1.4688 1.12314457831 -2.32354216867 -2.2781686747 0.9015 -2.1420 -2.0936
meanshift 13 3 33 0.491611511306 0.24459411712 2.8174 0.6103  1.5341 0.0215 2.3978 2.08415789474 -3.26221052632 -3.22521052632 1.8893 -3.1519 -3.1752
