#RA        Dec     Umag e_Umag Bmag e_Bmag Vmag e_Vmag Imag e_Imag Jmag e_Jmag Kmag e_Kmag IRAC1 e_IRAC1 IRAC2 e_IRAC2 quality cmnt 
204.23216 -29.84833 24.75 0.15 25.03 0.09 24.23 0.07 21.93 0.04 null  null null  null   16.39 0.12 16.75 0.47 4.5 "uncertain"
204.25821 -29.85125 23.88 0.11 24.95 0.09 24.85 0.06 21.91 0.04 null  null null  null   16.34 0.09 16.66 0.10 2.5 "uncertain"
204.29662 -29.85237 25.64 0.27 25.75 0.13 24.54 0.08 21.91 0.04 null  null null  null   15.90 0.09 16.01 0.10 3.  "crowded"
204.33106 -29.85492 25.00 0.17 23.67 0.06 22.02 0.04 19.95 0.03 18.28 0.04 17.22 0.14 17.12 0.04 null  null  1.5 "good candidate"
204.31955 -29.85543 23.26 0.08 24.04 0.06 23.41 0.05 21.12 0.03 18.82 0.06 17.33 0.18 16.68 0.08 null  null  2.5 "crowded"
204.30085 -29.85674 22.42 0.06 21.55 0.03 21.13 0.03 20.77 0.03 18.83 0.10 17.42 0.05 16.86 0.09 null  null  4.  "crowded"
204.21583 -29.85924 22.39 0.06 23.18 0.05 23.07 0.05 23.19 0.05 null  null null  null   16.35 0.13 16.48 0.13 4.5 "uncertain"
204.31419 -29.85995 26.50 0.35 26.34 0.16 24.23 0.07 22.01 0.04 18.80 0.07 16.41 0.14 16.60 0.09 null  null  2.5 "background galaxy"
204.23938 -29.86178 21.24 0.04 22.25 0.04 22.07 0.04 21.21 0.03 null  null null  null   17.47 0.08 17.83 0.15 3.  "globular cluster"
204.22728 -29.86241 23.55 0.09 23.02 0.04 22.50 0.04 21.15 0.03 null  null null  null   17.40 0.09 17.67 0.11 1.  "possible composite"
204.27278 -29.86357 27.53 0.57 29.99 1.16 26.73 0.15 24.67 0.10 null  null null  null   17.08 0.11 17.43 0.15 5.  "uncertain"
204.27851 -29.86570 23.36 0.09 24.10 0.06 23.78 0.04 22.54 0.04 null  null null  null   16.59 0.09 16.81 0.10 4.5 "uncertain"
204.33467 -29.86917 20.86 0.04 20.04 0.03 18.92 0.03 17.77 0.03 null  null null  null   16.09 0.03 16.21 0.05 1.  "excellent candidate"
204.23301 -29.87065 20.27 0.03 21.28 0.03 21.06 0.03 20.04 0.03 18.07 0.06 16.78 0.04 16.44 0.09 null  null  2.5 "cluster"
204.21703 -29.87143 null  null null  null null  null   22.81 0.04 18.74 0.06 16.09 0.07 16.42 0.06 null  null  2.  "faint candidate"
204.20346 -29.87159 28.33 0.84 27.14 0.24 25.68 0.14 23.35 0.05 null  null null  null   17.04 0.10 17.28 0.15 2.5 "uncertain"
204.27568 -29.87186 26.03 0.28 27.11 0.23 25.27 0.07 21.43 0.03 19.57 0.16 17.07 0.10 18.33 0.28 null  null  3.  "uncertain, near X-ray source"
204.24128 -29.87485 27.46 0.57 27.24 0.28 25.53 0.13 23.38 0.06 null  null null  null   17.17 0.11 17.36 0.15 4.  "bright background"
204.33385 -29.87635 null null null  null null  null    22.97 0.04 19.50 0.11 17.05 0.12 17.01 0.06 null  null  1.  "excellent candidate"
204.31479 -29.87830 null null  26.02 0.14 24.36 0.08 21.36 0.03 18.97 0.09 17.50 0.14 17.07 0.05 null  null  2.  "faint companion nearby"
204.29217 -29.87845 27.02 0.45 27.25 0.25 26.03 0.10 21.91 0.04 null  null null  null   16.17 0.08 16.59 0.10 1.5 "good candidate"
204.25766 -29.87868 26.82 0.41 26.80 0.20 25.39 0.08 21.85 0.04 18.98 0.10 17.20 0.15 16.85 0.09 null  null  1.5 "faint companion nearby"
204.30318 -29.87883 null null null  null null  null    25.93 0.17 18.24 0.06 17.05 0.10 16.50 0.06 null  null  3.  "crowded"
204.26906 -29.88573 null null  27.65 0.30 25.07 0.10 20.76 0.03 18.12 0.04 16.63 0.11 16.80 0.05 null  null  1.5 "some companions nearby"
204.25522 -29.88789 26.92 0.43 27.53 0.29 25.20 0.11 21.18 0.03 18.95 0.07 16.69 0.15 16.90 0.09 null  null  1.5 "good candidate"
204.27873 -29.88957 21.00 0.04 21.45 0.03 21.00 0.03 20.10 0.03 17.94 0.06 16.71 0.12 16.61 0.05 null  null  3.  "diffuse cluster"
204.22592 -29.89037 26.11 0.35 26.48 0.21 24.83 0.10 22.11 0.04 null  null null  null   16.68 0.10 17.02 0.14 3.  "crowded"
204.20375 -29.89278 25.36 0.21 26.68 0.21 26.18 0.18 23.75 0.06 null  null null  null   17.12 0.11 17.69 0.26 4.5 "uncertain"
204.24112 -29.89317 28.09 0.82 27.27 0.82 24.95 0.10 21.45 0.03 18.67 0.07 16.92 0.07 16.48 0.08 null  null  3.  "crowded"
204.20519 -29.89473 22.20 0.05 22.82 0.05 22.52 0.04 21.95 0.04 18.81 0.07 17.00 0.07 17.34 0.09 null  null  4.  "close bright companion"
204.28280 -29.89583 21.82 0.05 23.11 0.05 22.54 0.04 20.67 0.03 18.75 0.06 17.31 0.40 17.27 0.06 null  null  1.  "superb object"
204.26852 -29.89639 null null null  null   25.44 0.13 21.43 0.03 18.77 0.07 16.90 0.04 16.64 0.10 null  null  2.  "two close similar stars"
204.23161 -29.89652 24.01 0.11 24.30 0.07 24.03 0.07 23.24 0.05 null  null null  null   17.09 0.07 17.29 0.10 3.5 "crowded"
204.24035 -29.89695 null null  27.65 0.32 25.11 0.11 22.53 0.04 18.97 0.11 17.28 0.06 16.74 0.08 null  null  3.  "two close stars"
204.25784 -29.89818 21.96 0.05 21.98 0.04 21.50 0.03 20.67 0.03 18.18 0.06 17.33 0.04 16.76 0.10 null  null  3.  "diffuse cluster"
204.20358 -29.89852 25.50 0.22 26.50 0.18 24.75 0.09 21.57 0.03 18.82 0.07 16.93 0.03 17.15 0.07 null  null  3.  "close bright companion"
204.24671 -29.90021 25.27 0.20 24.69 0.08 23.81 0.06 21.49 0.03 19.11 0.09 17.05 0.07 16.62 0.07 null  null  1.  "excellent candidate"
204.30090 -29.90026 24.98 0.17 26.12 0.15 25.80 0.14 24.70 0.09 null  null null  null   16.92 0.09 17.10 0.10 4.  "uncertain"
204.25377 -29.90135 24.39 0.17 25.44 0.15 24.04 0.14 21.02 0.09 18.63 0.07 16.88 0.10 17.09 0.10 null  null  2.  "blue star close"
204.22208 -29.90175 null  null null  null  25.67 0.16 21.74 0.04 19.17 0.10 16.94 0.19 17.21 0.07 null  null  2.  "fainter companion nearby"
204.29479 -29.90216 25.94 0.27 25.47 0.11 23.78 0.06 21.69 0.04 18.70 0.08 16.57 0.07 16.82 0.09 null  null  5.  "background galaxy"
204.21221 -29.90251 26.71 0.39 25.39 0.11 23.07 0.05 20.67 0.03 18.83 0.07 17.33 0.05 16.77 0.06 null  null  1.5 "good candidate"
204.29688 -29.90267 24.17 0.12 25.26 0.10 24.60 0.08 21.59 0.03 18.53 0.05 16.79 0.10 16.74 0.05 null  null  2.  "good candidate"
204.28941 -29.90270 24.16 0.12 25.29 0.10 25.15 0.11 22.66 0.04 19.41 0.10 17.14 0.17 17.18 0.07 null  null  3.  "uncertain"
204.27102 -29.90557 null null null  null null  null    23.55 0.06 19.11 0.09 16.69 0.10 17.00 0.05 null  null  1.5 "good candidate"
204.19860 -29.90631 null null null  null null  null null  null     17.90 0.05 16.80 0.08 16.75 0.04 null  null  1.  "bright and red"
204.22135 -29.90849 25.10 0.18 23.88 0.06 22.25 0.04 20.41 0.03 18.14 0.04 16.92 0.05 16.86 0.07 null  null  5.  "cluster or galaxy"
204.28363 -29.90948 24.05 0.11 25.27 0.10 24.89 0.10 22.20 0.04 null  null null  null   16.34 0.12 16.65 0.14 4.  "crowded"
204.30452 -29.90964 29.88 2.13 27.82 0.32 24.61 0.08 21.63 0.04 19.48 0.11 17.85 0.08 17.74 0.07 null  null  1.  "excellent candidate"
204.28463 -29.91002 25.54 0.22 25.98 0.14 24.18 0.07 22.00 0.04 null  null null  null   16.78 0.11 17.01 0.16 1.5 "good candidate"
204.27719 -29.91304 21.75 0.05 23.16 0.05 23.23 0.05 22.01 0.04 19.35 0.11 17.22 0.06 17.50 0.07 null  null  3.  "composite star"
204.30305 -29.91371 27.69 0.62 26.62 0.18 24.17 0.07 21.23 0.03 19.09 0.09 17.13 0.12 17.72 0.09 null  null  1.  "excellent candidate"
204.23170 -29.91480 25.08 0.18 25.38 0.11 24.45 0.08 21.38 0.03 null  null null  null   15.92 0.12 16.04 0.15 1.5 "two candidates in area"
204.25023 -29.91497 26.88 0.41 24.09 0.06 21.76 0.04 20.01 0.03 18.35 0.05 17.64 0.12 17.07 0.07 null  null  1.  "excellent candidate"
204.23015 -29.91522 27.94 0.71 26.81 0.20 24.82 0.09 21.47 0.03 19.19 0.10 17.12 0.05 16.86 0.06 null  null  2.  "good candidate"
204.29721 -29.91526 22.20 0.05 23.07 0.04 22.67 0.04 21.22 0.03 18.84 0.07 17.38 0.10 16.63 0.09 null  null  3.  "several stars in area"
204.23495 -29.91530 26.95 0.43 26.28 0.16 24.02 0.07 20.81 0.03 18.47 0.05 16.71 0.11 16.68 0.10 null  null  2.  "faint companion nearby"
204.21006 -29.91601 27.14 0.47 25.62 0.12 23.28 0.05 20.46 0.03 18.40 0.05 16.71 0.12 16.85 0.05 null  null  1.  "excellent candidate"
204.29463 -29.91608 25.56 0.22 26.38 0.16 25.13 0.11 21.60 0.03 19.00 0.09 17.23 0.13 16.89 0.08 null  null  3.  "crowded"
204.27929 -29.91728 22.66 0.06 22.32 0.04 21.36 0.03 20.17 0.03 18.17 0.05 17.14 0.14 16.96 0.08 null  null  3.  "cluster or galaxy"
204.21299 -29.91749 28.20 0.82 26.80 0.20 24.61 0.08 21.59 0.03 19.29 0.10 17.62 0.05 18.13 0.12 null  null  1.5 "good candidate"
204.22586 -29.91788 23.25 0.08 23.70 0.05 22.66 0.04 20.53 0.03 18.32 0.04 16.85 0.07 17.20 0.07 null  null  1.  "excellent candidate"
204.22553 -29.92313 null  null 28.39 0.44 25.95 0.15 22.09 0.04 19.31 0.10 17.67 0.04 17.72 0.09 null  null  1.5 "good candidate"
204.26318 -29.92358 24.25 0.12 25.11 0.09 23.37 0.05 20.74 0.03 18.22 0.07 17.08 0.05 16.60 0.08 null  null  3.  "crowded"
204.23725 -29.92410 23.92 0.11 24.98 0.09 24.75 0.09 22.19 0.04 19.01 0.13 17.72 0.04 17.71 0.09 null  null  4.  "three possible candidates"
204.21403 -29.92420 null  null 28.18 0.38 25.64 0.13 21.95 0.04 19.28 0.10 17.15 0.04 16.97 0.08 null  null  1.  "excellent candidate"
204.25955 -29.92432 25.10 0.18 26.09 0.14 26.17 0.17 25.89 0.16 null  null null  null   16.52 0.18 16.75 0.18 4.5 "crowded"
204.26171 -29.92460 23.31 0.08 24.19 0.06 23.58 0.06 20.89 0.03 18.08 0.04 16.08 0.07 16.65 0.07 16.80 0.11 3.  "crowded"
204.26430 -29.92477 21.50 0.04 22.75 0.04 22.71 0.04 22.02 0.04 19.47 0.11 16.97 0.06 17.13 0.09 null  null  1.  "close pair"
204.24593 -29.92507 null  null null  null   27.25 null 22.51 null 19.74 0.16 17.25 0.06 17.24 0.09 null  null  3.  "uncertain and crowded"
204.23186 -29.92541 25.11 0.18 25.56 0.11 24.09 0.07 21.44 0.03 18.97 0.10 17.36 0.07 17.40 0.06 null  null  4.  "uncertain, very faint?"
204.21763 -29.92694 null  null null  null   28.37 null 22.85 null 19.41 0.10 16.89 0.13 17.10 0.07 null  null  2.  "faint candidate"
204.24474 -29.92718 24.84 0.16 25.54 0.11 23.62 0.06 20.86 0.03 18.67 0.06 17.00 0.11 17.46 0.06 null  null  1.5 "good candidate"
204.21807 -29.92822 null  null  28.77 0.52 26.14 0.17 22.00 0.04 19.38 0.10 17.20 0.05 17.67 0.07 null  null  1.  "excellent candidate"
