# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
meanshift 6 1 8250 0.325389499955 0.321424641356 0.3114 0.4491  2.2339 0.0000 0.3018 -0.335850942417 -0.00786028013142  -0.2087 0.0552
meanshift 6 2 181 0.325389499955 0.329969149448 1.0317 0.5203  1.6873 0.0028 0.7302 2.13483333333 0.0268888888889  1.3917 0.0660
meanshift 6 3 35 0.325389499955 0.709313326984 0.6940 0.2380  0.8592 0.0085 0.4383 -1.387 -0.154666666667  -0.9508 -0.1254
meanshift 6 4 4 0.325389499955 0.279036300817 2.1075 0.5023  0.8293 0.2462 1.4522 3.068 -0.0373333333333  2.9603 0.0942
meanshift 6 5 2 0.325389499955 0.83397871687 2.5829 0.1214  0.1214 0.1214 1.7895 3.6515 0.0735  3.6515 0.0735
meanshift 6 6 185 0.325389499955 0.420589863754 0.9013 0.4785  2.5253 0.0020 0.3164 1.895 1.026  0.9821 0.7058
kmeans 6 1 3396 0.342539154278 0.334565610373 0.2195 0.1995  1.4217 0.0000 0.1789 -0.264907161804 0.0103993516062  -0.2648 0.0105
kmeans 6 2 336 0.342539154278 0.252700401546 0.6993 0.4774  1.5423 0.0010 0.3172 0.462711309524 0.783723214286  0.4627 0.7837
kmeans 6 3 617 0.342539154278 0.384648986961 0.5234 0.3449  1.0889 0.0010 0.3051 0.660474878444 0.190003241491  0.6605 0.1900
kmeans 6 4 1778 0.342539154278 0.278562814902 0.2032 0.2747  1.3535 0.0000 0.1708 0.0401605839416 0.179679955081  0.0404 0.1798
kmeans 6 5 159 0.342539154278 0.322610918648 1.2075 0.6481  2.5837 0.0040 0.8183 1.60513836478 0.170685534591  1.6051 0.1707
kmeans 6 6 2371 0.342539154278 0.405044734257 0.4049 0.1945  1.3772 0.0000 0.2625 -0.545294390553 -0.0712787853226  -0.5453 -0.0713
meanshift 32 1 7518 0.317067454817 0.332742671657 0.2837 0.3559  1.3617 0.0000 0.2539 -0.352932472108 -0.0231321197886  -0.2754 0.0223
meanshift 32 2 409 0.317067454817 0.243039232761 0.5606 0.3239  1.0651 0.0010 0.3697 1.18579545455 0.0230681818182  0.7398 0.1032
meanshift 32 3 21 0.317067454817 0.448443328412 1.0211 0.1584  0.3185 0.0042 0.6084 1.39711111111 0.19475  1.4223 0.2178
meanshift 32 4 349 0.317067454817 0.0988594780507 0.5438 0.3333  0.9608 0.0010 0.1938 0.714206896552 0.946448275862  0.4609 0.5553
meanshift 32 5 46 0.317067454817 0.197904881876 0.8581 0.1980  0.5730 0.0042 0.3903 1.31803846154 0.398692307692  1.1375 0.3908
meanshift 32 6 33 0.317067454817 0.252338267029 1.1275 0.2378  0.6048 0.0040 0.8346 1.58184 0.02048  1.5825 -0.0663
