# object_id magnitude
223.0 26.59
229.0 27.23
253.0 27.293
269.0 26.601
270.0 27.15
285.0 26.843
288.0 31.303
303.0 26.075
306.0 27.205
308.0 25.612
309.0 28.364
310.0 26.017
313.0 27.289
333.0 25.005
334.0 27.433
349.0 26.748
379.0 26.865
382.0 27.171
383.0 29.76
398.0 29.648
405.0 26.547
413.0 27.675
414.0 26.64
417.0 26.897
418.0 26.744
425.0 29.806
427.0 31.589
434.0 27.047
435.0 26.488
443.0 27.539
444.0 27.715
449.0 26.858
457.0 27.391
464.0 31.412
471.0 26.529
472.0 26.731
481.0 27.674
487.0 29.898
491.0 26.0
497.0 30.065
515.0 25.197
517.0 28.05
519.0 27.372
522.0 26.747
524.0 26.667
536.0 27.564
538.0 27.868
545.0 25.744
554.0 27.371
557.0 28.038
564.0 25.753
565.0 25.88
575.0 26.995
587.0 25.829
612.0 25.442
614.0 27.436
615.0 23.783
627.0 27.725
630.0 26.953
631.0 27.358
634.0 26.299
638.0 27.98
645.0 30.23
646.0 31.079
657.0 26.785
659.0 29.281
666.0 28.124
683.0 29.08
688.0 28.17
691.0 25.111
696.0 30.029
698.0 26.33
701.0 29.214
702.0 26.574
708.0 29.682
719.0 33.103
730.0 27.254
731.0 26.91
738.0 25.668
740.0 28.113
746.0 26.165
747.0 25.31
752.0 27.816
753.0 27.343
756.0 28.497
763.0 28.235
767.0 28.743
768.0 26.744
772.0 28.657
776.0 27.282
780.0 26.034
781.0 28.021
784.0 24.373
785.0 31.523
789.0 26.395
795.0 26.307
798.0 31.887
805.0 25.52
810.0 26.863
816.0 28.506
817.0 30.73
818.0 27.984
819.0 26.549
825.0 26.039
826.0 25.777
830.0 24.263
831.0 27.432
836.0 29.788
838.0 24.985
842.0 25.049
844.0 29.863
845.0 29.282
847.0 26.944
857.0 27.743
859.0 30.383
864.0 30.681
865.0 25.36
866.0 26.664
872.0 27.473
877.0 29.148
881.0 26.713
882.0 26.047
888.0 26.611
891.0 27.885
893.0 23.923
894.0 23.289
895.0 28.13
899.0 25.152
911.0 27.264
912.0 26.482
913.0 25.518
919.0 27.261
922.0 27.819
924.0 26.869
927.0 27.714
929.0 25.681
936.0 28.845
937.0 23.504
942.0 25.836
943.0 27.598
946.0 23.747
947.0 29.973
948.0 25.446
949.0 27.113
951.0 25.218
956.0 26.754
959.0 27.23
961.0 26.265
964.0 26.657
967.0 26.472
975.0 29.372
977.0 26.867
979.0 26.848
983.0 26.36
987.0 25.813
996.0 24.308
997.0 27.997
1003.0 24.584
1011.0 25.697
1014.0 27.904
1015.0 27.399
1034.0 30.821
1035.0 27.208
1040.0 24.475
1043.0 26.633
1044.0 32.259
1058.0 24.425
1059.0 25.911
1060.0 27.917
1062.0 24.664
1070.0 26.896
1074.0 25.59
1077.0 27.25
1079.0 27.799
1080.0 26.76
1081.0 24.796
1083.0 26.737
1087.0 25.479
1093.0 27.273
1103.0 29.09
1107.0 31.204
1108.0 26.088
1109.0 29.594
1110.0 26.028
1111.0 28.456
1113.0 25.035
1120.0 26.922
1126.0 26.978
1127.0 27.882
1129.0 26.96
1133.0 27.111
1135.0 24.643
1136.0 24.587
1142.0 28.017
1144.0 27.82
1149.0 24.498
1150.0 27.938
1165.0 27.322
1167.0 27.056
1171.0 27.796
1174.0 28.291
1183.0 30.9
1189.0 27.428
1196.0 26.877
1197.0 26.547
1198.0 27.0
1199.0 26.53
1202.0 25.042
1207.0 26.418
1208.0 23.249
1210.0 26.675
1212.0 27.115
1214.0 27.904
1221.0 27.44
1227.0 25.719
1237.0 28.351
1239.0 25.599
1244.0 26.765
1251.0 29.403
1253.0 32.462
1259.0 27.503
1266.0 28.1
1267.0 26.131
1272.0 25.97
1274.0 27.247
1275.0 26.554
1276.0 27.276
1280.0 27.834
1282.0 26.945
1283.0 24.936
1290.0 26.761
1291.0 25.159
1300.0 25.785
1302.0 29.565
1303.0 25.82
