# band1 band2 limit n_objects
mag3_225 mag3_555 0.1 138
mag3_225 mag3_555 0.2 874
mag3_225 mag3_555 0.3 2584
mag3_225 mag3_555 0.4 4876
mag3_225 mag3_555 0.5 7691
mag3_225 mag3_555 0.6 10809
mag3_225 mag3_555 0.7 14202
mag3_225 mag3_555 0.8 17635
mag3_225 mag3_555 0.9 21032
mag3_438 mag3_555 0.1 639
mag3_438 mag3_555 0.2 3616
mag3_438 mag3_555 0.3 8783
mag3_438 mag3_555 0.4 15589
mag3_438 mag3_555 0.5 23882
mag3_438 mag3_555 0.6 32617
mag3_438 mag3_555 0.7 40551
mag3_438 mag3_555 0.8 46682
mag3_438 mag3_555 0.9 51081
mag3_555 mag3_814 0.1 848
mag3_555 mag3_814 0.2 4337
mag3_555 mag3_814 0.3 11728
mag3_555 mag3_814 0.4 22116
mag3_555 mag3_814 0.5 33645
mag3_555 mag3_814 0.6 43079
mag3_555 mag3_814 0.7 49092
mag3_555 mag3_814 0.8 52702
mag3_555 mag3_814 0.9 54996
mag3_336 mag3_555 0.1 394
mag3_336 mag3_555 0.2 2451
mag3_336 mag3_555 0.3 6095
mag3_336 mag3_555 0.4 10877
mag3_336 mag3_555 0.5 16601
mag3_336 mag3_555 0.6 22667
mag3_336 mag3_555 0.7 28749
mag3_336 mag3_555 0.8 34387
mag3_336 mag3_555 0.9 39142
mag3_373 mag3_555 0.1 33
mag3_373 mag3_555 0.2 199
mag3_373 mag3_555 0.3 539
mag3_373 mag3_555 0.4 1073
mag3_373 mag3_555 0.5 1800
mag3_373 mag3_555 0.6 2720
mag3_373 mag3_555 0.7 3831
mag3_373 mag3_555 0.8 5094
mag3_373 mag3_555 0.9 6601
mag3_487 mag3_555 0.1 61
mag3_487 mag3_555 0.2 377
mag3_487 mag3_555 0.3 1017
mag3_487 mag3_555 0.4 1974
mag3_487 mag3_555 0.5 3143
mag3_487 mag3_555 0.6 4590
mag3_487 mag3_555 0.7 6373
mag3_487 mag3_555 0.8 8422
mag3_487 mag3_555 0.9 10606
mag3_502 mag3_555 0.1 61
mag3_502 mag3_555 0.2 401
mag3_502 mag3_555 0.3 1110
mag3_502 mag3_555 0.4 2116
mag3_502 mag3_555 0.5 3370
mag3_502 mag3_555 0.6 4953
mag3_502 mag3_555 0.7 6898
mag3_502 mag3_555 0.8 8985
mag3_502 mag3_555 0.9 11363
mag3_555 mag3_657 0.1 256
mag3_555 mag3_657 0.2 1697
mag3_555 mag3_657 0.3 5225
mag3_555 mag3_657 0.4 14905
mag3_555 mag3_657 0.5 32986
mag3_555 mag3_657 0.6 50630
mag3_555 mag3_657 0.7 59021
mag3_555 mag3_657 0.8 62113
mag3_555 mag3_657 0.9 63524
mag3_555 mag3_673 0.1 87
mag3_555 mag3_673 0.2 597
mag3_555 mag3_673 0.3 1521
mag3_555 mag3_673 0.4 2729
mag3_555 mag3_673 0.5 4477
mag3_555 mag3_673 0.6 6850
mag3_555 mag3_673 0.7 10022
mag3_555 mag3_673 0.8 13742
mag3_555 mag3_673 0.9 17724
