# band1 band2 colour_mean colour_median colour_std colour_var colour_min colour_max num_obj unc_mean unc_median unc_std unc_var unc_min unc_max
mag3_225 mag3_555 -0.3665 -0.6460 1.4000 1.9600 -9.0370 9.5800 56908 1.7844 1.1276 3.4630 11.9924 0.0166 99.2554
mag3_438 mag3_555 0.3871 0.1980 0.7342 0.5390 -6.0140 7.0080 64209 0.7982 0.5943 1.6145 2.6067 0.0100 92.2730
mag3_555 mag3_814 0.9089 0.8040 1.1920 1.4209 -5.9670 9.4450 62835 0.7239 0.4801 2.0709 4.2888 0.0085 88.7019
mag3_336 mag3_555 -0.4330 -0.7350 1.1844 1.4028 -8.4570 7.4780 61107 1.1134 0.7311 2.3679 5.6068 0.0117 97.3565
mag3_373 mag3_555 -0.5286 -0.6630 1.0961 1.2014 -8.3620 7.4910 55264 2.6310 1.8505 3.9823 15.8584 0.0335 100.0005
mag3_487 mag3_555 0.0024 -0.0970 0.7969 0.6351 -6.8860 6.7500 60521 2.1061 1.5670 3.3328 11.1077 0.0238 98.5411
mag3_502 mag3_555 0.2609 0.1480 0.7443 0.5540 -6.4400 6.5040 61304 1.9959 1.5013 2.9833 8.9001 0.0228 96.6106
mag3_555 mag3_657 4.5317 4.5320 0.9667 0.9346 -2.0370 11.7030 66523 0.5705 0.5013 1.0358 1.0728 0.0162 75.7677
mag3_555 mag3_673 0.3398 0.3510 0.8922 0.7961 -5.8080 7.6670 61335 1.6395 1.1930 2.8922 8.3646 0.0199 98.3190
