# band1 band2 colour_mean colour_median colour_std colour_var colour_min colour_max num_obj unc_mean unc_median unc_std unc_var unc_min unc_max
mag3_225 mag3_555 -1.3986 -1.5300 0.7100 0.5041 -3.2180 3.4500 1149 0.1618 0.1702 0.0471 0.0022 0.0166 0.2687
mag3_438 mag3_555 0.1623 0.0920 0.2642 0.0698 -0.5640 2.2340 5490 0.1692 0.1768 0.0515 0.0027 0.0100 0.2717
mag3_555 mag3_814 0.7655 0.6530 0.6684 0.4468 -0.5100 3.4290 7199 0.1757 0.1849 0.0554 0.0031 0.0085 0.2814
mag3_336 mag3_555 -1.0588 -1.2130 0.5388 0.2903 -1.9410 2.1970 3493 0.1672 0.1748 0.0491 0.0024 0.0117 0.2703
mag3_373 mag3_555 -0.7622 -0.8110 0.6829 0.4664 -7.5090 1.1080 229 0.1574 0.1667 0.0470 0.0022 0.0335 0.2673
mag3_487 mag3_555 -0.2436 -0.2180 0.2510 0.0630 -1.7330 0.8000 427 0.1535 0.1612 0.0453 0.0021 0.0238 0.2662
mag3_502 mag3_555 0.0774 0.0695 0.1123 0.0126 -0.6260 1.1160 460 0.1531 0.1608 0.0449 0.0020 0.0228 0.2532
mag3_555 mag3_657 3.6176 3.7240 0.9619 0.9253 1.7460 5.9540 2406 0.1675 0.1734 0.0507 0.0026 0.0162 0.2793
mag3_555 mag3_673 0.4423 0.3620 0.3760 0.1414 -0.3520 1.9680 679 0.1534 0.1610 0.0445 0.0020 0.0199 0.2493
