#clustering band1 band2 band3 band4 band5 band6 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 0.6500 N/A N/A N/A N/A 0.301762719429 5 28931 28179   459   273    19     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 0.5500 N/A N/A N/A N/A 0.287126114685 6 28931 28015   395   375   130    15     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 0.6000 N/A N/A N/A N/A 0.311272655274 5 28931 28169   465   279    17     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 0.6500 N/A N/A N/A N/A 0.301762719429 5 28931 28179   459   273    19     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 0.7000 N/A N/A N/A N/A 0.301457900375 5 28931 28190   452   269    19     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
meanshift mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 0.7500 N/A N/A N/A N/A 0.314285839019 5 28931 28107   544   257    22     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 N/A N/A N/A experiments.txt 7427.0872804 0.375607202473 3 28931 15711 10519  2701     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 N/A N/A N/A experiments.txt 6230.21056077 0.345410039055 4 28931 13591  8714  4072  2554     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 N/A N/A N/A experiments.txt 5280.64498113 0.314395354982 5 28931 10421  9616  3861  3570  1463     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0
kmeans mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 N/A N/A N/A experiments.txt 4432.19244959 0.319906522784 6 28931 9668 8736 4592 3848 1221  866    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 N/A N/A N/A experiments.txt 3947.7227923 0.296887787575 7 28931 7767 7280 5819 3376 2952 1042  695    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_555 mag05_438 mag05_555 mag05_555 mag05_814 N/A N/A N/A experiments.txt 3533.37206986 0.295210763538 8 28931 6876 6177 5189 4970 2171 2165  801  582    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0

