# clustering total_clust clust_num n_obj t_scr c_scr rms avg_dist max_dist min_dist stdev cen_1 cen_2 avg_col_1 avg_col_2
meanshift 8 7 18 0.545214436674 0.471418796317 1.8846 0.5214  1.7852 0.0175 0.7557 1.648 3.478  1.0408 2.4122
meanshift 8 8 1 0.545214436674 0.0 N/A N/A N/A N/A 1.4590 3.682 0.764  3.6820 0.7640
kmeans 6 1 436 0.331572849548 0.275729896356 1.4089 0.7869  2.9585 0.0020 0.8940 0.319346330275 1.8583853211  0.3193 1.8584
kmeans 6 2 1092 0.331572849548 0.357158632205 0.6814 0.4297  1.6103 0.0010 0.5489 -0.0884249084249 0.895847069597  -0.0884 0.8958
kmeans 6 3 481 0.331572849548 0.234852543175 0.9396 0.7296  3.3435 0.0014 0.4895 1.00911226611 0.594937629938  1.0091 0.5949
kmeans 6 4 2456 0.331572849548 0.348626165742 0.3055 0.2850  1.0606 0.0000 0.2899 -0.33798004886 0.14482247557  -0.3380 0.1448
kmeans 6 5 2918 0.331572849548 0.350787649576 0.4039 0.3218  2.3512 0.0000 0.1954 -0.411324880055 -0.295658670322  -0.4113 -0.2957
kmeans 6 6 1175 0.331572849548 0.284746116983 0.2858 0.3691  1.7825 0.0010 0.2154 0.150786382979 0.224934468085  0.1508 0.2249
meanshift 5 1 8224 0.567337864836 0.57445346486 0.4679 0.7274  3.3781 0.0000 0.4675 -0.327870673325 -0.0453633545721  -0.1963 0.1548
meanshift 5 2 144 0.567337864836 0.497785554926 1.6995 0.7074  2.6494 0.0134 1.1333 0.28575 3.82325  0.2128 2.3201
meanshift 5 3 34 0.567337864836 0.461528445338 1.4551 0.6839  2.1938 0.0297 1.0140 3.21133333333 0.007  1.9753 0.1119
meanshift 5 4 153 0.567337864836 0.278243431421 1.3853 0.7537  2.1545 0.0061 0.4539 2.568 1.77566666667  1.1883 1.4293
meanshift 5 5 3 0.567337864836 0.342606732688 2.3163 0.8519  1.1877 0.5796 1.1952 3.4365 0.918  3.1230 0.8453
kmeans 7 1 2377 0.319624961692 0.365478491136 0.3051 0.2538  0.9187 0.0000 0.2624 -0.37567690366 0.0642709297434  -0.3757 0.0643
kmeans 7 2 585 0.319624961692 0.309438952005 0.9815 0.5080  1.8002 0.0010 0.7305 -0.0157777777778 1.32683760684  -0.0158 1.3268
kmeans 7 3 1311 0.319624961692 0.337223487347 0.4776 0.3424  1.1586 0.0010 0.4125 -0.12460259344 0.605883295195  -0.1246 0.6059
kmeans 7 4 1155 0.319624961692 0.250423333285 0.2215 0.3508  1.6228 0.0010 0.2034 0.0957333333333 0.0800510822511  0.0957 0.0801
kmeans 7 5 2355 0.319624961692 0.320168288462 0.4253 0.3060  2.1246 0.0000 0.1845 -0.432526539278 -0.333914225053  -0.4325 -0.3339
kmeans 7 6 250 0.319624961692 0.241108103872 1.5680 0.8029  3.3080 0.0061 0.8633 0.586888 2.031092  0.5869 2.0311
kmeans 7 7 525 0.319624961692 0.266617094577 0.8914 0.6985  3.3591 0.0014 0.4679 0.955773333333 0.561499047619  0.9558 0.5615
meanshift 4 1 8311 0.588209814229 0.594003066458 0.4896 0.7535  4.3854 0.0000 0.4895 -0.31010675139 -0.0203861795075  -0.1935 0.1744
meanshift 4 2 34 0.588209814229 0.493053344543 1.4551 0.6839  2.1938 0.0297 1.0140 3.21133333333 0.007  1.9753 0.1119
meanshift 4 3 210 0.588209814229 0.377849861555 1.5702 1.0422  3.8972 0.0061 0.7366 2.568 1.77566666667  0.9838 1.7896
meanshift 4 4 3 0.588209814229 0.342606732688 2.3163 0.8519  1.1877 0.5796 1.1952 3.4365 0.918  3.1230 0.8453
kmeans 8 1 2202 0.321014318136 0.356746238188 0.3241 0.2453  1.5039 0.0000 0.2671 -0.411408719346 0.0443119891008  -0.4114 0.0443
kmeans 8 2 262 0.321014318136 0.251031144046 1.5418 0.7811  2.9150 0.0061 0.8491 0.570969465649 2.00285114504  0.5710 2.0029
kmeans 8 3 619 0.321014318136 0.3218999867 0.6554 0.4723  1.5363 0.0010 0.2651 0.605906300485 0.59284006462  0.6059 0.5928
kmeans 8 4 1345 0.321014318136 0.349683045678 0.4515 0.3244  1.0811 0.0010 0.4034 -0.158009665428 0.563318959108  -0.1580 0.5633
kmeans 8 5 1296 0.321014318136 0.253286215136 0.1873 0.3197  1.6238 0.0010 0.1868 0.0110925925926 0.0158317901235  0.0111 0.0158
kmeans 8 6 572 0.321014318136 0.330935129581 0.9730 0.4844  1.6769 0.0010 0.7434 -0.0629825174825 1.3186451049  -0.0630 1.3186
kmeans 8 7 136 0.321014318136 0.209161542482 1.2756 0.8862  3.3314 0.0081 0.7849 1.59361764706 0.417382352941  1.5936 0.4174
kmeans 8 8 2126 0.321014318136 0.320007324299 0.4316 0.2964  1.7024 0.0000 0.1774 -0.435738476011 -0.351159454374  -0.4357 -0.3512
