#clustering band1 band2 band3 band4 b_width damp pref km_in inertia score n_clust total_objects c_1 c_2 c_3 c_4 c_5 c_6 c_7 c_8 c_9 c_10 c_11 c_12 c_13 c_14 c_15 c_16 c_17 c_18 c_19 c_20 c_21 c_22 c_23 c_24 c_25 c_26 c_27 c_28 c_29 c_30 c_31 c_32 c_33 c_34 c_35 c_36 c_37 c_38 c_39 c_40
meanshift mag05_336 mag05_373 mag05_438 mag05_814 0.5553 N/A N/A N/A N/A 0.545235095172 8 8558 8180  163  121   72   18    2    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1694.06881942 0.430270830228 3 8558 5022 2636  900    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_438 mag05_814 0.5000 N/A N/A N/A N/A 0.343895782347 10 8558 8120  171  149   79   23    8    3    3    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1264.80632528 0.413971067432 4 8558 4461 2667  795  635    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_438 mag05_814 0.5300 N/A N/A N/A N/A 0.544885459908 8 8558 8175  166  122   73   18    2    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_438 mag05_814 N/A N/A N/A experiments.txt 1063.33872303 0.359372628689 5 8558 3536 2774 1155  641  452    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_438 mag05_814 0.5500 N/A N/A N/A N/A 0.545214436674 8 8558 8179  163  122   72   18    2    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_438 mag05_814 N/A N/A N/A experiments.txt 934.575894672 0.331572849548 6 8558 2918 2456 1175 1092  481  436    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_438 mag05_814 0.6000 N/A N/A N/A N/A 0.567337864836 5 8558 8224  153  144   34    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_438 mag05_814 N/A N/A N/A experiments.txt 836.115760634 0.319624961692 7 8558 2377 2355 1311 1155  585  525  250    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
meanshift mag05_336 mag05_373 mag05_438 mag05_814 0.7000 N/A N/A N/A N/A 0.588209814229 4 8558 8311  210   34    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
kmeans mag05_336 mag05_373 mag05_438 mag05_814 N/A N/A N/A experiments.txt 745.867862414 0.321014318136 8 8558 2202 2126 1345 1296  619  572  262  136    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
