# object_id magnitude
253.0 23.926
288.0 24.588
303.0 23.695
306.0 28.149
308.0 23.064
310.0 23.333
313.0 23.957
333.0 23.948
334.0 25.553
349.0 24.94
366.0 24.953
379.0 24.453
383.0 25.78
398.0 26.956
405.0 24.711
413.0 25.247
414.0 24.167
417.0 23.83
425.0 23.582
427.0 24.446
434.0 25.926
435.0 24.806
443.0 23.759
444.0 24.926
449.0 24.233
457.0 26.369
471.0 24.535
472.0 24.046
481.0 24.37
487.0 25.787
491.0 23.28
507.0 25.659
515.0 23.466
517.0 25.866
519.0 25.4
522.0 23.828
524.0 26.331
529.0 26.201
536.0 25.547
545.0 24.176
554.0 25.338
557.0 24.93
564.0 23.928
565.0 24.248
575.0 27.458
587.0 23.974
612.0 23.406
614.0 24.438
615.0 21.816
631.0 24.812
634.0 25.899
646.0 26.542
651.0 25.059
657.0 23.719
659.0 24.187
666.0 26.117
683.0 26.172
685.0 25.58
687.0 25.088
688.0 25.197
691.0 23.011
696.0 25.987
698.0 24.894
701.0 24.892
702.0 24.744
715.0 25.706
730.0 25.21
731.0 25.807
738.0 23.302
740.0 25.857
746.0 24.433
747.0 23.707
752.0 29.433
753.0 26.309
763.0 27.079
767.0 25.302
768.0 24.254
772.0 24.673
780.0 23.668
784.0 22.264
785.0 25.485
789.0 23.058
795.0 24.367
805.0 23.486
810.0 25.449
816.0 25.013
817.0 24.43
818.0 24.455
819.0 26.253
825.0 24.032
826.0 23.924
829.0 24.914
830.0 22.428
831.0 23.663
836.0 23.967
838.0 22.395
842.0 22.438
844.0 24.81
845.0 26.043
854.0 24.771
857.0 23.904
865.0 23.629
866.0 25.505
872.0 24.881
881.0 23.373
882.0 24.128
888.0 23.579
893.0 22.176
894.0 21.389
895.0 24.431
899.0 23.475
911.0 24.867
912.0 23.678
913.0 23.495
922.0 25.032
924.0 24.472
929.0 23.454
936.0 24.735
937.0 21.812
942.0 23.954
943.0 24.804
946.0 21.977
947.0 24.363
948.0 23.249
949.0 25.531
951.0 23.402
956.0 24.6
959.0 28.873
961.0 23.314
964.0 25.319
975.0 24.044
977.0 24.353
979.0 24.189
983.0 24.364
987.0 22.63
996.0 22.66
997.0 25.661
1003.0 22.839
1011.0 27.749
