# object_id magnitude
253.0 26.509
288.0 28.549
303.0 26.9
308.0 25.781
310.0 26.822
313.0 27.058
333.0 29.56
349.0 28.511
366.0 26.807
379.0 26.788
382.0 29.763
383.0 29.37
398.0 26.251
405.0 27.529
413.0 28.132
414.0 27.37
417.0 27.24
418.0 29.69
425.0 26.72
427.0 29.103
434.0 27.591
435.0 27.21
443.0 26.918
444.0 28.638
449.0 27.636
457.0 29.217
464.0 28.834
471.0 28.233
472.0 26.935
487.0 29.535
491.0 27.298
497.0 27.038
507.0 26.741
515.0 26.734
517.0 27.138
519.0 28.072
522.0 28.555
524.0 27.73
536.0 27.532
538.0 27.724
545.0 26.671
553.0 27.763
554.0 30.144
557.0 27.033
564.0 26.982
565.0 26.786
577.0 26.408
587.0 27.243
612.0 27.19
614.0 27.326
615.0 24.723
627.0 27.125
630.0 28.772
631.0 27.004
634.0 28.752
645.0 25.836
646.0 26.506
651.0 26.987
657.0 32.794
659.0 26.791
683.0 28.371
685.0 28.2
687.0 26.396
688.0 26.138
691.0 27.152
696.0 29.107
701.0 25.579
702.0 27.672
708.0 25.773
715.0 25.519
719.0 26.407
723.0 27.39
730.0 27.168
731.0 29.819
738.0 26.382
740.0 29.247
746.0 27.782
747.0 26.988
752.0 27.733
753.0 27.49
763.0 28.857
767.0 27.574
768.0 27.522
772.0 27.673
776.0 28.349
780.0 27.02
784.0 26.016
785.0 25.86
789.0 25.341
795.0 28.223
798.0 27.286
805.0 26.891
810.0 24.8
816.0 27.519
818.0 27.766
819.0 28.237
825.0 25.812
826.0 26.944
830.0 25.859
831.0 29.506
836.0 25.763
838.0 25.998
842.0 26.202
844.0 26.106
845.0 25.829
854.0 27.878
857.0 25.925
859.0 27.794
864.0 29.583
865.0 26.769
866.0 29.742
872.0 28.143
877.0 27.205
881.0 27.657
882.0 27.034
888.0 27.711
891.0 28.331
893.0 25.832
894.0 24.933
895.0 27.978
899.0 25.404
911.0 28.616
912.0 26.854
913.0 26.861
919.0 28.753
922.0 28.858
924.0 28.011
927.0 27.504
929.0 27.195
936.0 26.841
937.0 25.076
942.0 26.726
943.0 29.955
946.0 25.541
947.0 28.979
948.0 27.04
949.0 28.883
951.0 26.756
956.0 27.264
959.0 27.835
961.0 25.5
964.0 28.691
975.0 26.31
977.0 27.31
979.0 27.232
983.0 28.384
987.0 27.426
996.0 25.928
997.0 28.609
1003.0 26.261
1014.0 27.958
1015.0 26.94
1034.0 27.837
1035.0 25.862
1040.0 26.43
1043.0 26.666
1044.0 27.505
1058.0 24.981
1059.0 27.739
1060.0 29.444
1062.0 24.836
1067.0 26.367
1070.0 28.377
1074.0 27.163
1077.0 28.082
1079.0 26.196
1080.0 29.714
1081.0 26.183
1093.0 27.846
1103.0 29.664
1107.0 26.981
1108.0 27.538
1109.0 25.566
1110.0 28.167
1111.0 26.789
1113.0 26.489
1120.0 27.43
1129.0 28.707
1133.0 27.677
1135.0 25.658
1136.0 24.507
1142.0 27.289
1144.0 27.409
1149.0 25.988
1150.0 28.537
1165.0 28.839
1167.0 28.968
1171.0 29.213
1174.0 28.41
1183.0 26.563
1189.0 28.809
1196.0 26.496
1197.0 28.085
1198.0 26.468
1199.0 28.214
1202.0 26.857
1207.0 27.018
1208.0 24.769
1210.0 28.239
1212.0 28.903
1214.0 26.163
1216.0 27.588
1217.0 27.189
1221.0 27.61
1227.0 23.01
1237.0 27.389
1238.0 26.958
1239.0 25.09
1244.0 28.787
1251.0 28.137
1253.0 26.036
1259.0 27.927
1266.0 27.258
1267.0 27.709
1272.0 27.724
1274.0 28.967
1275.0 27.426
1276.0 28.239
1280.0 27.729
1282.0 26.545
1283.0 26.396
1290.0 27.188
1291.0 26.92
1300.0 27.389
1302.0 28.255
1303.0 27.496
1304.0 27.337
1308.0 25.679
1309.0 26.816
1314.0 26.637
1318.0 30.142
1321.0 28.098
1332.0 28.051
1336.0 27.335
1340.0 28.736
1341.0 26.784
1342.0 27.34
1344.0 28.013
1345.0 27.871
1346.0 27.726
1347.0 29.435
1349.0 25.358
1353.0 27.674
1354.0 28.058
1358.0 27.985
1360.0 27.749
1365.0 27.544
1367.0 27.543
1369.0 27.343
1371.0 27.069
1375.0 28.213
1379.0 27.056
1380.0 27.349
1385.0 26.99
1389.0 27.35
1390.0 27.209
1394.0 28.28
1395.0 26.545
1398.0 27.661
1403.0 26.608
1404.0 27.672
1410.0 26.687
1411.0 28.112
1412.0 27.549
1414.0 27.296
1420.0 27.433
1421.0 28.165
1422.0 26.782
1431.0 27.762
1433.0 27.323
1435.0 23.617
1440.0 27.348
1443.0 30.985
1444.0 26.321
1446.0 28.003
1447.0 26.988
1449.0 27.894
1450.0 28.201
1451.0 26.21
1452.0 28.259
1458.0 27.873
1463.0 26.774
1468.0 27.0
1474.0 27.764
1476.0 26.158
1478.0 27.591
1486.0 26.345
1488.0 29.037
1501.0 28.07
1503.0 29.157
1504.0 27.718
1509.0 28.191
1512.0 26.653
1517.0 28.728
1522.0 27.536
1524.0 27.951
1526.0 29.548
1528.0 27.077
1529.0 28.071
1531.0 27.641
1532.0 23.566
1533.0 29.297
1536.0 25.723
1537.0 26.994
1539.0 27.238
1543.0 27.817
1552.0 26.946
1556.0 27.879
1558.0 24.048
1560.0 26.807
1565.0 28.864
1567.0 27.514
1568.0 28.396
1571.0 28.078
1572.0 27.852
1576.0 23.127
1579.0 27.88
1581.0 24.732
1582.0 27.706
1586.0 25.761
1588.0 26.795
1590.0 24.349
1592.0 27.729
1593.0 27.731
1595.0 30.576
1597.0 24.97
1600.0 27.722
1602.0 26.46
1604.0 30.867
1606.0 25.003
1607.0 27.659
1613.0 26.979
1617.0 26.933
1618.0 27.434
1620.0 28.145
