# object_id magnitude
253.0 28.236
288.0 28.18
303.0 26.007
308.0 25.33
310.0 26.16
313.0 26.834
333.0 27.008
349.0 27.402
366.0 27.791
379.0 26.445
382.0 27.262
405.0 26.816
413.0 28.281
414.0 26.311
417.0 26.804
422.0 30.392
425.0 28.339
427.0 27.289
434.0 28.968
435.0 26.466
443.0 27.359
444.0 27.863
449.0 26.931
457.0 28.384
464.0 28.373
471.0 26.537
472.0 27.355
481.0 27.723
487.0 27.663
491.0 26.298
497.0 28.026
507.0 27.598
515.0 25.672
517.0 29.457
519.0 26.725
522.0 26.382
524.0 26.817
529.0 28.694
536.0 27.081
545.0 25.964
564.0 26.206
565.0 26.028
575.0 29.305
587.0 25.832
612.0 25.661
614.0 26.856
615.0 24.008
631.0 26.914
634.0 26.586
646.0 27.46
651.0 27.644
657.0 26.655
659.0 30.039
683.0 28.962
685.0 30.583
688.0 28.093
691.0 25.463
698.0 26.775
701.0 27.898
702.0 27.947
715.0 27.15
730.0 27.521
731.0 27.258
738.0 25.767
740.0 28.768
746.0 26.303
747.0 25.486
753.0 28.969
763.0 31.353
767.0 29.475
768.0 27.648
772.0 28.375
776.0 27.576
780.0 26.509
784.0 24.642
785.0 30.125
789.0 26.152
795.0 26.816
798.0 28.326
805.0 25.885
810.0 30.172
816.0 27.976
817.0 27.632
819.0 27.088
825.0 26.108
826.0 26.043
830.0 24.918
831.0 27.742
836.0 27.952
838.0 25.379
842.0 25.342
844.0 28.87
854.0 27.661
857.0 28.121
864.0 27.276
865.0 25.887
866.0 27.269
872.0 27.064
877.0 29.729
881.0 26.085
882.0 26.021
888.0 26.634
893.0 24.356
894.0 23.604
895.0 30.86
899.0 25.205
911.0 27.192
912.0 26.589
913.0 25.647
919.0 26.78
924.0 29.151
927.0 27.746
929.0 26.25
936.0 27.951
937.0 24.03
942.0 26.072
943.0 27.227
946.0 24.079
948.0 26.041
949.0 28.495
951.0 25.603
956.0 26.223
959.0 27.833
961.0 26.343
964.0 26.611
975.0 27.812
977.0 27.006
979.0 26.584
983.0 26.678
987.0 26.343
996.0 24.76
997.0 27.064
1003.0 25.121
1011.0 26.563
1014.0 27.763
1015.0 26.433
1040.0 24.988
1043.0 26.565
1058.0 24.404
1059.0 26.01
1060.0 28.789
1062.0 24.575
1070.0 27.464
1074.0 25.802
1077.0 28.816
1079.0 26.662
1080.0 26.879
1081.0 25.401
1083.0 27.632
1093.0 28.799
1108.0 26.842
1109.0 29.306
1110.0 27.468
1111.0 28.256
1113.0 25.241
1120.0 28.138
1126.0 27.621
1133.0 27.96
1135.0 24.761
1136.0 25.188
1142.0 26.881
1144.0 26.839
1149.0 25.278
1150.0 27.457
1165.0 30.222
1167.0 27.617
1171.0 28.623
1183.0 29.229
1189.0 27.477
1196.0 26.286
1197.0 26.987
1198.0 24.848
1199.0 26.004
1202.0 25.338
1207.0 26.32
1208.0 23.444
1210.0 28.163
1212.0 27.386
1214.0 29.177
1216.0 27.932
1221.0 28.292
1227.0 24.506
1237.0 27.522
1239.0 25.628
1244.0 28.389
1251.0 28.093
1253.0 29.728
1259.0 27.844
1266.0 27.243
1267.0 26.378
1272.0 25.829
1274.0 28.114
1275.0 26.967
1280.0 29.404
1282.0 26.621
1283.0 25.209
1290.0 26.629
1291.0 25.547
1300.0 26.051
1302.0 39.406
1303.0 26.513
1304.0 27.18
1308.0 28.246
1309.0 28.159
1314.0 25.287
1318.0 26.243
1321.0 26.505
1332.0 27.163
1340.0 26.995
1341.0 25.914
1342.0 27.666
1344.0 27.023
1347.0 27.098
1349.0 24.409
1353.0 26.677
1354.0 26.884
1358.0 26.572
1360.0 29.283
1365.0 28.238
1367.0 26.585
1369.0 26.666
1379.0 26.401
1385.0 26.088
1386.0 30.384
1389.0 26.567
1390.0 29.844
1394.0 27.938
1395.0 25.989
1398.0 26.197
1403.0 25.583
1410.0 28.907
1411.0 28.288
1412.0 28.151
1421.0 28.791
1422.0 25.045
1431.0 29.384
1433.0 27.278
1435.0 23.342
1440.0 29.499
1443.0 26.91
1446.0 28.876
1447.0 27.001
1449.0 28.781
1450.0 27.929
1451.0 24.781
1452.0 27.553
1458.0 26.44
1468.0 27.798
1474.0 26.556
1476.0 28.658
1478.0 27.322
1486.0 25.756
1488.0 27.696
1501.0 28.569
1504.0 28.94
1509.0 27.79
1512.0 25.963
1517.0 27.411
1524.0 27.135
1526.0 26.671
1528.0 27.288
1529.0 28.268
1531.0 26.208
1532.0 22.878
1536.0 24.518
1537.0 26.738
1539.0 28.898
1543.0 29.435
1556.0 26.446
1558.0 22.988
1560.0 26.088
1565.0 27.63
1567.0 25.465
1568.0 28.419
1572.0 27.537
1576.0 22.676
1577.0 27.965
1579.0 26.874
1581.0 26.063
1582.0 27.588
1586.0 24.958
1588.0 26.55
1590.0 23.659
1592.0 26.45
1593.0 26.965
1595.0 29.084
1597.0 23.583
1600.0 26.589
1602.0 25.402
1604.0 27.108
1606.0 23.936
1607.0 26.684
1613.0 26.541
1617.0 25.724
1618.0 27.62
1620.0 27.471
1621.0 25.475
1622.0 28.998
1625.0 26.215
1629.0 27.959
1636.0 28.251
1639.0 27.92
1645.0 28.961
1649.0 25.507
1650.0 29.231
1654.0 27.829
1661.0 27.702
1662.0 27.238
1665.0 25.942
1668.0 26.629
1670.0 27.044
1672.0 26.882
1674.0 24.752
1675.0 27.273
1678.0 26.684
1679.0 26.943
1681.0 26.764
1686.0 28.852
1689.0 29.117
1692.0 27.894
1693.0 27.566
1697.0 26.833
1701.0 25.628
1706.0 27.86
1707.0 29.218
1714.0 26.703
1716.0 29.587
1717.0 28.404
1720.0 27.33
1721.0 27.785
1723.0 25.947
1726.0 26.713
1732.0 28.396
1734.0 26.726
1741.0 25.539
1742.0 27.101
1744.0 29.053
1750.0 27.049
1756.0 26.641
1757.0 23.901
1761.0 24.241
1764.0 29.168
1771.0 25.135
1777.0 28.327
1791.0 27.314
1793.0 28.129
1795.0 27.015
1798.0 25.638
1804.0 27.451
1809.0 29.563
1811.0 26.946
1814.0 26.999
1818.0 26.977
1821.0 24.406
1822.0 27.404
1827.0 28.496
1829.0 27.473
1830.0 27.175
1834.0 29.133
1835.0 26.1
1836.0 28.28
1840.0 27.231
1841.0 27.378
1847.0 26.835
1849.0 25.024
1854.0 27.146
1863.0 23.225
1865.0 27.003
1868.0 25.567
1872.0 26.334
1875.0 27.247
1878.0 28.61
1882.0 26.888
1883.0 26.34
1884.0 27.176
1885.0 29.029
1887.0 27.994
1889.0 28.939
1892.0 26.929
1894.0 27.087
1896.0 27.518
1898.0 27.325
1907.0 27.995
1912.0 26.899
1916.0 25.768
1917.0 27.919
1918.0 30.37
1919.0 26.044
1920.0 27.924
1923.0 23.482
